variant,trial_number,epoch,train_loss,val_loss,corr_3m,corr_6m,corr_12m,base_corr_3m,base_corr_6m,base_corr_12m
linear,1,1,0.19370100438772214,0.1329602261384328,0.060752420610515404,0.13305439055742074,0.1572474853446086,0.08752121810878938,0.15343396334986512,0.18453722156894703
linear,1,2,0.1753349947994427,0.13642709851264953,0.06292450582550373,0.10426407372578979,0.13895236117532478,0.1088985837297514,0.14840789765973264,0.19689026405103505
linear,1,3,0.17366517888056854,0.13664323252936203,0.02162291913603743,0.04568734306085389,0.07138238355206947,0.08923328048549592,0.14496359070762993,0.2018043917414616
linear,1,4,0.16892288116708634,0.13319772370159627,-0.030066785495728256,0.04791957112029195,0.022356299318683645,0.0716317553500024,0.1444636016075189,0.1923796659723545
linear,1,5,0.16707224423982323,0.13369290021558602,0.0525626351009123,0.05942107494920492,0.09972953206743114,0.11430262967478484,0.15673493255162613,0.196596437972039
linear,1,6,0.16381432204729035,0.1355075599004825,0.022610021828829,0.04098533117212355,0.08886628348069886,0.11442924454653015,0.1577370336453896,0.2043428723157073
linear,1,7,0.16443854438821,0.135683950347205,0.031517915334552525,0.06950785481991867,0.08015221247139076,0.10951936508839329,0.15540786008738602,0.19636639657740793
linear,1,8,0.15846220701045932,0.14495830213030178,0.03258653224863035,0.045291643349143366,0.05224775106956561,0.11165340509808933,0.15867785365941625,0.19912782846949995
linear,1,9,0.15724841762511504,0.1342985867212216,0.051108244818169626,0.06048305558700425,0.10013574776239693,0.11182219665497542,0.15828111657853394,0.2010825693170773
linear,2,1,0.18674366700921266,0.13647273679574332,-0.00545305092819035,0.01705846081022173,0.03483356912620365,0.10567194819013821,0.13774362547167887,0.1733904300412784
linear,2,2,0.17171333739090533,0.13936528054376443,-0.0010978440676505366,0.02589573646740367,0.023106650402769446,0.09838806929377218,0.14942819393860798,0.1896945106748414
linear,2,3,0.16583961353356402,0.13686787535746892,0.01064379398400585,0.050970496237277986,0.026531459998417026,0.10801859844941646,0.15495591864261465,0.1932751707577457
linear,2,4,0.16626414748293067,0.13921422138810158,-0.0010162621503695846,0.026922540731417637,0.0114241825727125,0.10241908749255041,0.14950925644491994,0.19697052074285845
linear,2,5,0.16748509869452508,0.14707774023214976,0.009811632676670949,0.02595672643122574,0.06553344877126316,0.10229446923234112,0.1616679328493774,0.20073127948368588
linear,2,6,0.16361379611586768,0.14042491801083087,0.05739825543326636,0.07068441685211534,0.0650056252333646,0.10469093220696474,0.15328871835760463,0.198743788471135
linear,2,7,0.1622063834663658,0.13827611735711495,0.07173078977502882,0.10787306829103424,0.12252659374692788,0.11231082170270383,0.15188280870206655,0.19880546275526284
linear,2,8,0.15898517727674472,0.13948157479365667,0.04096889148155848,0.07430281086126342,0.09335500105128934,0.07994594989965359,0.15461259873894354,0.1984558710673203
linear,2,9,0.15695534316852452,0.1375286071250836,0.052046586056045875,0.10914535173991075,0.13265284154719362,0.0844855318699653,0.1491046141871872,0.19391988357529044
linear,2,10,0.15536320582032204,0.13450584188103676,0.03845290782434555,0.06998511947070558,0.10114880984959503,0.08927869841669842,0.14470034894378234,0.1876541353141268
linear,2,11,0.15517076076791872,0.1383130875726541,0.05271940413707246,0.09295011863675123,0.1155545229713122,0.09849965747756263,0.14938582948028245,0.18781348938743272
linear,2,12,0.15329553296286907,0.14895819760859014,0.03614631500968244,0.04721123723720666,0.09665902386574696,0.09268173604117086,0.14802082579117268,0.18519954925092558
linear,2,13,0.1501936779934026,0.14208971249560515,0.05075955246575177,0.06509177706514796,0.09124574376667928,0.09016383147488037,0.14376964009037085,0.18677913930732756
linear,2,14,0.14927366012263865,0.13564570794502895,0.0629140008551379,0.10149857016901175,0.1058297467767261,0.09548234379617497,0.14910005681061497,0.18448911977078145
linear,2,15,0.1459164143288656,0.135883512844642,0.06643733523475627,0.07802916524621348,0.10275535077962558,0.10805140491575002,0.15018177493560264,0.19126093197070684
linear,2,16,0.14387658776508438,0.1374180868268013,0.0561396156786941,0.08368812723832282,0.11079955202682565,0.1048490945637847,0.15161376328906045,0.18675194844836368
linear,2,17,0.14219074552908303,0.1353249731163184,0.04750286896402637,0.06672298639120224,0.09226558345902353,0.0945146112392346,0.14631853658963034,0.18335098773241043
linear,3,1,0.20306628327521067,0.14448850949605305,0.06446833299220694,0.06362418866095444,0.1360749919510757,0.04480514157718669,0.11337007412997385,0.15848514517613996
linear,3,2,0.18436440370149082,0.17532490255932012,0.06165628507733345,0.08987274206786727,0.1320171989345302,0.06725746401740859,0.13421763979519408,0.18053899003813664
linear,3,3,0.18221678711946995,0.1475376230974992,0.06496680011817564,0.046272729319753125,0.0699106832810988,0.07279627627382676,0.14439104552778492,0.18580947825394106
linear,3,4,0.17726006630867247,0.14840524817506473,0.05104677179673066,0.04577178338853021,0.0577308133089294,0.0810781194944866,0.1463423563943555,0.18260548786104966
linear,3,5,0.17402095059376388,0.1488451602558295,0.07437658979712675,0.05524766047795614,0.1149477743847001,0.08830505668884144,0.14429985606893753,0.18484987067058684
linear,3,6,0.17317856283533195,0.14284348500271637,0.08079394315524648,0.1137464999628719,0.17570569546272358,0.09013432090481123,0.15013703015477706,0.18270249682439801
linear,3,7,0.1705299158477121,0.14746147307256857,0.08753272683049242,0.1192911494600897,0.17699245107360184,0.10704691807817047,0.14459571696352214,0.1844618231213341
linear,3,8,0.1648215779679872,0.15765344401200612,0.05307911068521207,0.09705528418999165,0.13908629312645643,0.10177119546957934,0.14941954469735114,0.18446752839178468
linear,3,9,0.1652191197056146,0.1559905990958214,0.033676295354962346,0.07614764405104021,0.11610292456268022,0.10943654993704209,0.1514530152179456,0.18079197209250802
linear,3,10,0.16349669309362533,0.1427760560065508,0.07326588081317216,0.12249215017072856,0.18774201137712226,0.09941329284192761,0.1468324504249419,0.18457153271883725
linear,3,11,0.1615626864608318,0.1437581419944763,0.060418967840087136,0.09161859127537658,0.13587832637805755,0.11002310696834078,0.14876217812416143,0.1883212606344993
linear,3,12,0.15941328336558644,0.14585305986305078,0.04348543004598469,0.08516693438771956,0.11642595753461743,0.1132244382664794,0.15077222652422886,0.19488376079437633
linear,3,13,0.1587683516332791,0.14873783998191356,0.05424488761636894,0.08721807356147716,0.1552135025927176,0.10196742891954878,0.1430387368076481,0.18535214776638895
linear,3,14,0.15830455244415337,0.1586057676623265,0.05372571255817699,0.07098905825987459,0.14301384964104122,0.10831951206200756,0.148430214698116,0.1891283105748395
linear,3,15,0.1560049048728413,0.14588460785647234,0.05977015995886177,0.06212359645093481,0.1141431026160717,0.11330016430971833,0.15277210185304285,0.18619861211627722
linear,3,16,0.1542133605403323,0.14366813339293003,0.07066131117365633,0.084677210294952,0.1502840746815006,0.11566678037634119,0.1559946668179085,0.19249763331996897
linear,3,17,0.15124312227976228,0.14283381861944994,0.06322500071643541,0.08923727698468914,0.14803464972258856,0.11141194766387344,0.15427478761800253,0.19540188913088058
linear,3,18,0.1517363776645017,0.14399194779495397,0.05964138788791994,0.09277713187620976,0.1539245256106369,0.11105189581091206,0.15513218610625093,0.1953385283064563
