variant,construction,scaling,metric,value
fourier,long_only,scaled,cumulative_return,0.550489626629223
fourier,long_only,unscaled,cumulative_return,1.8969523940308832
fourier,long_only,scaled,annualised_return,0.09167602602391711
fourier,long_only,unscaled,annualised_return,0.23705289988972145
fourier,long_only,scaled,annualised_vol,0.14515619458911413
fourier,long_only,unscaled,annualised_vol,0.4354685837673425
fourier,long_only,scaled,sharpe_ratio,0.6782332770570668
fourier,long_only,unscaled,sharpe_ratio,0.6782332770570666
fourier,long_only,scaled,max_drawdown,0.09203401684913189
fourier,long_only,unscaled,max_drawdown,0.27610205054739567
fourier,long_only,scaled,n_rebalances,10.0
fourier,long_only,unscaled,n_rebalances,10.0
fourier,long_short,scaled,cumulative_return,1.7652878200731967
fourier,long_short,unscaled,cumulative_return,10.281533702825207
fourier,long_short,scaled,annualised_return,0.22559806933711757
fourier,long_short,unscaled,annualised_return,0.6235797614575227
fourier,long_short,scaled,annualised_vol,0.22317923334562786
fourier,long_short,unscaled,annualised_vol,0.6695377000368836
fourier,long_short,scaled,sharpe_ratio,1.0494023693371701
fourier,long_short,unscaled,sharpe_ratio,1.0494023693371701
fourier,long_short,scaled,max_drawdown,0.06963350602639526
fourier,long_short,unscaled,max_drawdown,0.2089005180791859
fourier,long_short,scaled,n_rebalances,10.0
fourier,long_short,unscaled,n_rebalances,10.0
fourier,country_composite_long_only,scaled,cumulative_return,0.8470982268055971
fourier,country_composite_long_only,unscaled,cumulative_return,1.357955478674385
fourier,country_composite_long_only,scaled,annualised_return,0.13057140869027872
fourier,country_composite_long_only,unscaled,annualised_return,0.187154163998148
fourier,country_composite_long_only,scaled,annualised_vol,0.09557668988280738
fourier,country_composite_long_only,unscaled,annualised_vol,0.09697446063401825
fourier,country_composite_long_only,scaled,sharpe_ratio,1.3630236273216547
fourier,country_composite_long_only,unscaled,sharpe_ratio,1.8856273553803338
fourier,country_composite_long_only,scaled,max_drawdown,0.008639309723386208
fourier,country_composite_long_only,unscaled,max_drawdown,0.002879769907795439
fourier,country_composite_long_only,scaled,n_rebalances,10.0
fourier,country_composite_long_only,unscaled,n_rebalances,10.0
fourier,country_composite_long_short,scaled,cumulative_return,0.4839184367981131
fourier,country_composite_long_short,unscaled,cumulative_return,1.774870678585319
fourier,country_composite_long_short,scaled,annualised_return,0.08213640105623266
fourier,country_composite_long_short,unscaled,annualised_return,0.22644633449378393
fourier,country_composite_long_short,scaled,annualised_vol,0.06481011494899903
fourier,country_composite_long_short,unscaled,annualised_vol,0.15756821829791964
fourier,country_composite_long_short,scaled,sharpe_ratio,1.271005502162376
fourier,country_composite_long_short,unscaled,sharpe_ratio,1.4274169761216875
fourier,country_composite_long_short,scaled,max_drawdown,0.0547261212771826
fourier,country_composite_long_short,unscaled,max_drawdown,0.047600162242977695
fourier,country_composite_long_short,scaled,n_rebalances,10.0
fourier,country_composite_long_short,unscaled,n_rebalances,10.0
fourier,long_only_monthly,scaled,cumulative_return,0.7098268334695539
fourier,long_only_monthly,unscaled,cumulative_return,3.2843792910320557
fourier,long_only_monthly,scaled,annualised_return,0.11324416042046681
fourier,long_only_monthly,unscaled,annualised_return,0.33775807850279027
fourier,long_only_monthly,scaled,annualised_vol,0.10643851844114623
fourier,long_only_monthly,unscaled,annualised_vol,0.304563158862482
fourier,long_only_monthly,scaled,sharpe_ratio,1.0664833938227611
fourier,long_only_monthly,unscaled,sharpe_ratio,1.1328490693220792
fourier,long_only_monthly,scaled,max_drawdown,0.1654745713745758
fourier,long_only_monthly,unscaled,max_drawdown,0.43328128591754195
fourier,long_only_monthly,scaled,n_rebalances,60.0
fourier,long_only_monthly,unscaled,n_rebalances,60.0
fourier,long_short_monthly,scaled,cumulative_return,2.2686858036472706
fourier,long_short_monthly,unscaled,cumulative_return,21.11144184591049
fourier,long_short_monthly,scaled,annualised_return,0.2672859948128674
fourier,long_short_monthly,unscaled,annualised_return,0.8574768620403586
fourier,long_short_monthly,scaled,annualised_vol,0.16822222296166026
fourier,long_short_monthly,unscaled,annualised_vol,0.5046666688849808
fourier,long_short_monthly,scaled,sharpe_ratio,1.503651441730177
fourier,long_short_monthly,unscaled,sharpe_ratio,1.503651441730177
fourier,long_short_monthly,scaled,max_drawdown,0.16622092971816455
fourier,long_short_monthly,unscaled,max_drawdown,0.4474186725255632
fourier,long_short_monthly,scaled,n_rebalances,60.0
fourier,long_short_monthly,unscaled,n_rebalances,60.0
fourier,country_composite_long_only_monthly,scaled,cumulative_return,0.8544064878257331
fourier,country_composite_long_only_monthly,unscaled,cumulative_return,1.6056928334833827
fourier,country_composite_long_only_monthly,scaled,annualised_return,0.131464643836825
fourier,country_composite_long_only_monthly,unscaled,annualised_return,0.21111293826702382
fourier,country_composite_long_only_monthly,scaled,annualised_vol,0.07139425072969063
fourier,country_composite_long_only_monthly,unscaled,annualised_vol,0.11510996478985609
fourier,country_composite_long_only_monthly,scaled,sharpe_ratio,1.7736969123377198
fourier,country_composite_long_only_monthly,unscaled,sharpe_ratio,1.7329178943458632
fourier,country_composite_long_only_monthly,scaled,max_drawdown,0.05972233392606467
fourier,country_composite_long_only_monthly,unscaled,max_drawdown,0.105482888658754
fourier,country_composite_long_only_monthly,scaled,n_rebalances,60.0
fourier,country_composite_long_only_monthly,unscaled,n_rebalances,60.0
fourier,country_composite_long_short_monthly,scaled,cumulative_return,0.9986123490088534
fourier,country_composite_long_short_monthly,unscaled,cumulative_return,1.7348313299294005
fourier,country_composite_long_short_monthly,scaled,annualised_return,0.1485389114994229
fourier,country_composite_long_short_monthly,unscaled,annualised_return,0.22288638356077461
fourier,country_composite_long_short_monthly,scaled,annualised_vol,0.11602829868849371
fourier,country_composite_long_short_monthly,unscaled,annualised_vol,0.16843942115815258
fourier,country_composite_long_short_monthly,scaled,sharpe_ratio,1.2567488821416761
fourier,country_composite_long_short_monthly,unscaled,sharpe_ratio,1.2857972198027572
fourier,country_composite_long_short_monthly,scaled,max_drawdown,0.12037766219755468
fourier,country_composite_long_short_monthly,unscaled,max_drawdown,0.17113300739021217
fourier,country_composite_long_short_monthly,scaled,n_rebalances,60.0
fourier,country_composite_long_short_monthly,unscaled,n_rebalances,60.0
linear,long_only,scaled,cumulative_return,0.7688652259998459
linear,long_only,unscaled,cumulative_return,3.143185503678124
linear,long_only,scaled,annualised_return,0.1208279408893429
linear,long_only,unscaled,annualised_return,0.32882220196564593
linear,long_only,scaled,annualised_vol,0.07350408912702255
linear,long_only,unscaled,annualised_vol,0.20569634793026412
linear,long_only,scaled,sharpe_ratio,1.628245377917245
linear,long_only,unscaled,sharpe_ratio,1.5628838138174324
linear,long_only,scaled,max_drawdown,0.02366784725996358
linear,long_only,unscaled,max_drawdown,0.04566371951990527
linear,long_only,scaled,n_rebalances,10.0
linear,long_only,unscaled,n_rebalances,10.0
linear,long_short,scaled,cumulative_return,2.049402661093405
linear,long_short,unscaled,cumulative_return,15.192114755502732
linear,long_short,scaled,annualised_return,0.24980700641153186
linear,long_short,unscaled,annualised_return,0.7452623288075026
linear,long_short,scaled,annualised_vol,0.10912007680316232
linear,long_short,unscaled,annualised_vol,0.31865545981077475
linear,long_short,scaled,sharpe_ratio,2.20666356442715
linear,long_short,unscaled,sharpe_ratio,2.1277635095163836
linear,long_short,scaled,max_drawdown,0.003712916670992884
linear,long_short,unscaled,max_drawdown,0.008423882801972803
linear,long_short,scaled,n_rebalances,10.0
