theme,path1_attention_share,longonly_gradient_share,difference
other,0.5152959891327858,0.5514217800640984,0.03612579093131252
value,0.06558577286625705,0.10210307466494668,0.03651730179868963
low_risk,0.09275015566463911,0.053431477774695146,-0.03931867788994396
profitability,0.0558870086011812,0.04522983389607171,-0.01065717470510949
quality,0.03053012137115375,0.043367596233114564,0.012837474861960813
size,0.03266456912613442,0.035825549107496454,0.0031609799813620346
momentum,0.05716674622686639,0.034035538868489854,-0.023131207358376538
low_leverage,0.034269433511441114,0.03257465503358104,-0.001694778477860072
investment,0.03063648311271258,0.02879938821104507,-0.0018370949016675124
profit_growth,0.027903490105802085,0.023031187843721473,-0.004872302262080613
short_term_reversal,0.03383192983503114,0.02173955976775092,-0.012092370067280218
debt_issuance,0.009891036362163704,0.017343122885283835,0.007452086523120131
seasonality,0.013587264083831518,0.011097235649704919,-0.0024900284341265993
