variant,characteristic,mean_abs_grad
fourier,market_equity,0.0005544512209598907
fourier,chcsho_1m,0.00011162497914483542
fourier,chcsho_3m,0.00015073779291318115
fourier,chcsho_6m,0.0001534610016703179
fourier,chcsho_12m,0.00023668115017547585
fourier,eqnpo_1m,8.32156063218766e-05
fourier,eqnpo_3m,7.283724351509593e-05
fourier,eqnpo_6m,8.952020815437816e-05
fourier,eqnpo_12m,0.00017750689335419633
fourier,ret_1_0,8.582210464131397e-05
fourier,ret_3_1,7.903486934083049e-05
fourier,ret_6_1,6.356465592640839e-05
fourier,ret_9_1,6.88688052105135e-05
fourier,ret_12_1,6.163071876168638e-05
fourier,ret_12_7,6.579238121048548e-05
fourier,ret_2_0,5.507885952586853e-05
fourier,ret_3_0,6.306503089338854e-05
fourier,ret_6_0,6.78335380143835e-05
fourier,ret_9_0,6.637339440809837e-05
fourier,ret_12_0,6.01279011425504e-05
fourier,ret_18_1,0.00013507413592985055
fourier,ret_24_1,0.00010780828150018351
fourier,ret_24_12,0.00013273513217427539
fourier,ret_36_1,0.00011324578204342591
fourier,ret_36_12,8.367026977794009e-05
fourier,seas_1_1an,6.809201346792785e-05
fourier,seas_1_1na,6.134371378114641e-05
fourier,ivol_capm_21d,5.5965819533412294e-05
fourier,ivol_capm_252d,0.00011742260231282364
fourier,iskew_capm_21d,0.0001647891753964359
fourier,rvol_21d,6.158858370933253e-05
fourier,rvol_252d,0.00017339938975055702
fourier,rvolhl_21d,0.00013369501113629664
fourier,rmax1_21d,5.697914225189987e-05
fourier,rmax5_21d,7.172881137497219e-05
fourier,rmax5_rvol_21d,7.115798004330523e-05
fourier,rskew_21d,0.00011125760819898759
fourier,coskew_21d,5.763326952243612e-05
fourier,beta_21d,7.023049736744726e-05
fourier,beta_252d,8.613896866033122e-05
fourier,beta_dimson_21d,0.00010878520434137802
fourier,betadown_252d,0.00015384779748274012
fourier,ami_126d,0.00012685343167201304
fourier,dolvol_126d,0.00015458201996807475
fourier,dolvol_var_126d,4.3878065656220616e-05
fourier,turnover_126d,4.976374527662603e-05
fourier,turnover_var_126d,5.5117623020729903e-05
fourier,zero_trades_21d,7.316393851093985e-05
fourier,zero_trades_126d,5.1823272063605445e-05
fourier,zero_trades_252d,7.558886047869842e-05
fourier,bidaskhl_21d,0.0001284548993377636
fourier,prc_highprc_252d,0.00018573856923467252
fourier,age,0.00016758605937260045
fourier,mispricing_mgmt,0.00017484329968283415
fourier,mispricing_perf,0.0001156675470216821
fourier,at_gr1,6.62274676869856e-05
fourier,sale_gr1,0.00015121555310543047
fourier,inv_gr1a,0.00011527748926406884
fourier,fnl_gr1a,0.00020582240732134477
fourier,nfna_gr1a,0.0001136768425446159
fourier,tax_gr1a,0.0002484915590078648
fourier,be_gr1a,4.7506464131098865e-05
fourier,ebit_sale,0.0001137427323677305
fourier,ope_be,7.991477152245352e-05
fourier,ni_be,4.7290465681726344e-05
fourier,ebit_bev,5.719632327479001e-05
fourier,dbnetis_at,0.00013971313324873339
fourier,at_turnover,9.441859450210662e-05
fourier,sale_bev,0.00011539208224955172
fourier,cash_at,7.42753513926194e-05
fourier,op_atl1,9.259950387786374e-05
fourier,ocf_at,5.129594745085343e-05
fourier,op_at,8.003078064575675e-05
fourier,ocf_at_chg1,7.191824755864216e-05
fourier,at_be,7.99929688582779e-05
fourier,at_me,0.00010597222934544938
fourier,be_me,0.0002252352904664197
fourier,debt_me,8.128000441502082e-05
fourier,netdebt_me,6.927457903051012e-05
fourier,sale_me,0.00027127259854751166
fourier,ni_me,0.00019370949188063006
fourier,ocf_me,0.0003117996774138495
fourier,bev_mev,7.647956932487432e-05
fourier,ebitda_mev,0.00019982924573317478
fourier,qmj_prof,0.00013463981937093193
fourier,qmj_safety,0.00010553790405538165
fourier,lt_gr1,0.0001886101437654967
