variant,block,characteristic,mean_weight
fourier,k0,market_equity,0.06255962800715595
fourier,k0,chcsho_1m,0.014357096942945718
fourier,k0,chcsho_3m,0.018125773339392335
fourier,k0,chcsho_6m,0.017032912183991913
fourier,k0,chcsho_12m,0.021439030488017468
fourier,k0,eqnpo_1m,0.01394506015838326
fourier,k0,eqnpo_3m,0.015376925149021248
fourier,k0,eqnpo_6m,0.016682387370949958
fourier,k0,eqnpo_12m,0.019600250581648916
fourier,k0,ret_1_0,0.013516507262421904
fourier,k0,ret_3_1,0.013055536870575847
fourier,k0,ret_6_1,0.019454001064373318
fourier,k0,ret_9_1,0.025165624213881486
fourier,k0,ret_12_1,0.0160503089641695
fourier,k0,ret_12_7,0.013056140068144597
fourier,k0,ret_2_0,0.013508870852883771
fourier,k0,ret_3_0,0.013684553106471977
fourier,k0,ret_6_0,0.021399448700218204
fourier,k0,ret_9_0,0.026996968114465326
fourier,k0,ret_12_0,0.01573137487209093
fourier,k0,ret_18_1,0.012295290769697468
fourier,k0,ret_24_1,0.012247525565981349
fourier,k0,ret_24_12,0.020869618013180973
fourier,k0,ret_36_1,0.012039019528869493
fourier,k0,ret_36_12,0.01173363183504142
fourier,k0,seas_1_1an,0.020727694112209347
fourier,k0,seas_1_1na,0.017549461268768548
fourier,k0,ivol_capm_21d,0.019242508141846797
fourier,k0,ivol_capm_252d,0.015627946207129848
fourier,k0,iskew_capm_21d,0.013981001193180657
fourier,k0,rvol_21d,0.012748403210208628
fourier,k0,rvol_252d,0.012986385753555096
fourier,k0,rvolhl_21d,0.017982171237559345
fourier,k0,rmax1_21d,0.01379963805898009
fourier,k0,rmax5_21d,0.012942087810010864
fourier,k0,rmax5_rvol_21d,0.013377700620931902
fourier,k0,rskew_21d,0.018479604836253345
fourier,k0,coskew_21d,0.01688940547968615
fourier,k0,beta_21d,0.012927476524687695
fourier,k0,beta_252d,0.01380740938701827
fourier,k0,beta_dimson_21d,0.012803317778429997
fourier,k0,betadown_252d,0.014185035836454835
fourier,k0,ami_126d,0.012917685309686781
fourier,k0,dolvol_126d,0.018973072698892833
fourier,k0,dolvol_var_126d,0.02474466178791827
fourier,k0,turnover_126d,0.014310987144054568
fourier,k0,turnover_var_126d,0.03677627349414885
fourier,k0,zero_trades_21d,0.014722180871985116
fourier,k0,zero_trades_126d,0.014295832324288618
fourier,k0,zero_trades_252d,0.01266632306889385
fourier,k0,bidaskhl_21d,0.017009857867306275
fourier,k0,prc_highprc_252d,0.04470238650997988
fourier,k0,age,0.02300530040305511
fourier,k0,mispricing_mgmt,0.027204198782834626
fourier,k0,mispricing_perf,0.018690507669205617
fourier,k1,at_gr1,0.00926019998426695
fourier,k1,sale_gr1,0.007757559600192268
fourier,k1,inv_gr1a,0.00995853576301198
fourier,k1,fnl_gr1a,0.009685002762612579
fourier,k1,nfna_gr1a,0.007430976416023156
fourier,k1,tax_gr1a,0.007459325378916572
fourier,k1,be_gr1a,0.009184954432279475
fourier,k1,ebit_sale,0.009545789451816904
fourier,k1,ope_be,0.007024591902117175
fourier,k1,ni_be,0.006278430578011456
fourier,k1,ebit_bev,0.008937544562366074
fourier,k1,dbnetis_at,0.009796968682735604
fourier,k1,at_turnover,0.010232124317122246
fourier,k1,sale_bev,0.013208615083916348
fourier,k1,cash_at,0.006370202822731344
fourier,k1,op_atl1,0.006754314397053534
fourier,k1,ocf_at,0.009434329259244098
fourier,k1,op_at,0.007710734706985586
fourier,k1,ocf_at_chg1,0.008327873321471044
fourier,k1,at_be,0.005971308129617008
fourier,k1,at_me,0.011330452759308239
fourier,k1,be_me,0.023505911490700866
fourier,k1,debt_me,0.00588180228615086
fourier,k1,netdebt_me,0.005943464862810243
fourier,k1,sale_me,0.024800420690465858
fourier,k1,ni_me,0.015089270476031997
fourier,k1,ocf_me,0.02600305071179946
fourier,k1,bev_mev,0.01074017623405392
fourier,k1,ebitda_mev,0.01622736771313216
fourier,k1,qmj_prof,0.014334391198778093
