variant,seed,val_combined_minus_base,test_combined_minus_base
fourier,0,0.038477454769114655,0.026500785991083825
fourier,1,0.03857340009417384,0.033979585568886236
fourier,2,0.026175233230848485,0.030294632640046365
fourier,3,0.005315222886080537,-0.008290222376914846
fourier,4,0.024463909049518395,0.0037927074590697885
linear,0,0.030041428554492683,0.0016672933682760488
linear,1,-0.006955629485310047,0.0002875093021430103
linear,2,0.005180584728077503,-0.00921127569551268
linear,3,0.0017685941401092975,-0.016300295596010983
linear,4,0.024768858806540575,-0.024346963164862248
per_feature,0,0.03607816936855669,0.005528128925167644
per_feature,1,0.03918779031955637,0.013302159931239052
per_feature,2,0.022284515780241543,-0.0016195783081154047
per_feature,3,0.037919726665131756,0.012808407710205458
per_feature,4,0.029656810848973703,0.0040747205455166635
periodic,0,0.016748865455398734,-0.0027433422316486544
periodic,1,0.0176157051474244,-0.00039201041217894195
periodic,2,0.04179907805761711,-0.005215978933195711
periodic,3,0.045799808051197044,-0.00012173455713006265
periodic,4,0.01911691669374703,-0.006168815978647518
ple,0,0.013171266779924432,0.011588540898325533
ple,1,-0.05261845460627228,-0.04352742459159345
ple,2,0.017565036594169206,0.005509883382668099
ple,3,-0.03129555751220324,-0.021685084151492146
ple,4,0.0027009942840474366,-0.03886775697077002
