variant,trial_number,n_epochs_trained,best_epoch,best_epoch_fraction,final_gap_loss,mean_gap_loss_last_quarter
fourier,1,20,4,0.2,0.9286857790454098,0.991042222649128
fourier,2,20,3,0.15,1.213046069670282,1.086370727942438
fourier,3,19,11,0.5789473684210527,0.7978012384505646,0.6244156532981069
fourier,4,24,5,0.20833333333333334,0.5617856856021617,0.5769737960665707
fourier,5,15,1,0.06666666666666667,1.0573136357087933,0.967244956409805
fourier,6,21,2,0.09523809523809523,6.554954317656331,6.554857724374203
fourier,7,17,3,0.17647058823529413,0.6294844067995509,0.6563903697692449
fourier,8,16,8,0.5,-0.20018873449178431,0.024308756549310473
fourier,9,14,1,0.07142857142857142,0.5160132350370523,0.6869930066227439
fourier,10,26,18,0.6923076923076923,1.121462507354417,0.9268867129896498
fourier,11,18,10,0.5555555555555556,0.2119574807447543,0.012474381106989701
fourier,12,15,4,0.26666666666666666,1.1158111851189345,1.1984539518389044
fourier,13,30,2,0.06666666666666667,1.4160607915548127,1.3618892459844019
fourier,14,16,2,0.125,1.1540109154039078,1.224839371285744
fourier,15,20,2,0.1,0.9907949480509002,1.0660021946360616
fourier,16,14,4,0.2857142857142857,1.0308863933065107,0.9648545010099138
fourier,17,14,4,0.2857142857142857,1.0321686862391375,1.0349128684901172
fourier,18,23,1,0.043478260869565216,0.9324625933492955,1.1177602163058915
fourier,19,20,12,0.6,0.636893919658559,0.7047481557038348
fourier,20,14,4,0.2857142857142857,0.9702497263039862,1.3254352403853935
fourier,21,14,2,0.14285714285714285,0.5592335141995657,0.44614974021364656
fourier,22,29,21,0.7241379310344828,0.6770347423211668,0.6768607944560482
fourier,23,25,17,0.68,0.6151385123150365,0.703916196612393
fourier,24,22,14,0.6363636363636364,0.5882409923393022,0.6618542028560548
fourier,25,24,2,0.08333333333333333,0.6868506479903035,0.6939782205236265
fourier,26,17,1,0.058823529411764705,,
fourier,27,15,1,0.06666666666666667,2.6305265642369964,1.5170585343153487
fourier,28,14,4,0.2857142857142857,1.104179890844084,1.0503268896725284
fourier,29,17,2,0.11764705882352941,0.11808945407115257,0.24549509309147233
fourier,30,22,14,0.6363636363636364,0.3511645908748346,0.3385328514152576
fourier,31,14,4,0.2857142857142857,0.8404134582905542,0.7189776226819035
fourier,32,14,6,0.42857142857142855,0.5308361395240009,0.5446105699898138
fourier,33,15,2,0.13333333333333333,2.4526114420115297,1.3939167318092018
fourier,34,16,5,0.3125,0.8534299040344425,0.7894026271593739
fourier,35,23,2,0.08695652173913043,0.7316374923479522,0.7328499092420356
fourier,36,22,14,0.6363636363636364,1.0670206108777267,0.9627440621762812
fourier,37,6,1,0.16666666666666666,0.8383894976198909,0.8383894976198909
fourier,38,6,2,0.3333333333333333,0.7307913601620212,0.7307913601620212
fourier,39,18,10,0.5555555555555556,1.8783617518250906,1.6969130764301452
fourier,40,6,3,0.5,0.4209983974813468,0.4209983974813468
fourier,41,21,13,0.6190476190476191,0.694031296181123,0.6023959982019688
fourier,42,16,2,0.125,1.2207831109134808,1.0088558747215541
fourier,43,16,2,0.125,1.0062520805687185,1.0842915754498257
fourier,44,31,23,0.7419354838709677,0.5710212147264327,0.59567151691161
fourier,45,19,1,0.05263157894736842,1.510014712130503,1.3452499985193076
fourier,46,14,4,0.2857142857142857,2.2865665863330906,3.2626243083132924
fourier,47,6,2,0.3333333333333333,2.2371749091021242,2.2371749091021242
fourier,48,28,3,0.10714285714285714,0.9612029566084003,0.881641498915104
fourier,49,50,49,0.98,0.7029810340830914,0.6568650006281759
