variant,strategy,scaling,eom,return,cumulative_wealth,drawdown,rolling_sharpe_12m,rolling_return_12m
linear,long_only,unscaled,2021-01-31,0.025172,1.025172,0.0,,
linear,long_only,unscaled,2021-02-28,0.088823,1.11623,0.0,,
linear,long_only,unscaled,2021-03-31,0.023391,1.14234,0.0,,
linear,long_only,unscaled,2021-04-30,0.056528,1.206914,0.0,,
linear,long_only,unscaled,2021-05-31,0.199579,1.447789,0.0,,
linear,long_only,unscaled,2021-06-30,0.349323,1.953534,0.0,,
linear,long_only,unscaled,2021-07-31,0.09997,2.148829,0.0,,
linear,long_only,unscaled,2021-08-31,0.071745,2.302998,0.0,,
linear,long_only,unscaled,2021-09-30,0.136407,2.617143,0.0,,
linear,long_only,unscaled,2021-10-31,0.014348,2.654695,0.0,,
linear,long_only,unscaled,2021-11-30,0.097327,2.913069,0.0,,
linear,long_only,unscaled,2021-12-31,0.149686,3.349114,0.0,4.0457,131.2299
linear,long_only,unscaled,2022-01-31,0.017543,3.407869,0.0,3.9946,130.4671
linear,long_only,unscaled,2022-02-28,0.102185,3.756102,0.0,4.0431,131.8033
linear,long_only,unscaled,2022-03-31,0.007731,3.785139,0.0,3.9363,130.2373
linear,long_only,unscaled,2022-04-30,0.051017,3.978247,0.0,3.908,129.6863
linear,long_only,unscaled,2022-05-31,-0.021447,3.892925,-0.021447,3.1745,107.5836
linear,long_only,unscaled,2022-06-30,0.047047,4.076076,0.0,4.1369,77.356
linear,long_only,unscaled,2022-07-31,0.029432,4.196041,0.0,3.7862,70.3022
linear,long_only,unscaled,2022-08-31,0.060522,4.449994,0.0,3.7364,69.1799
linear,long_only,unscaled,2022-09-30,0.120025,4.984105,0.0,3.7915,67.5417
linear,long_only,unscaled,2022-10-31,0.264702,6.30341,0.0,3.4621,92.5771
linear,long_only,unscaled,2022-11-30,0.061016,6.68802,0.0,3.3328,88.946
linear,long_only,unscaled,2022-12-31,0.10736,7.406049,0.0,3.2965,84.7134
linear,long_only,unscaled,2023-01-31,0.043337,7.727004,0.0,3.4582,87.2928
linear,long_only,unscaled,2023-02-28,0.100675,8.504919,0.0,3.4548,87.1417
linear,long_only,unscaled,2023-03-31,0.000481,8.509009,0.0,3.3974,86.4168
linear,long_only,unscaled,2023-04-30,0.008014,8.577196,0.0,3.137,82.1164
linear,long_only,unscaled,2023-05-31,0.027066,8.809344,0.0,3.5108,86.9677
linear,long_only,unscaled,2023-06-30,-0.021094,8.62352,-0.021094,3.0342,80.1536
linear,long_only,unscaled,2023-07-31,-0.018176,8.466776,-0.038887,2.736,75.3928
linear,long_only,unscaled,2023-08-31,0.006313,8.520226,-0.03282,2.4872,69.9719
linear,long_only,unscaled,2023-09-30,0.027707,8.756297,-0.006022,2.2144,60.7401
linear,long_only,unscaled,2023-10-31,0.076739,9.428244,0.0,2.7797,41.9437
linear,long_only,unscaled,2023-11-30,0.097116,10.343874,0.0,2.8184,45.5536
linear,long_only,unscaled,2023-12-31,0.027193,10.625152,0.0,2.6273,37.5369
linear,long_only,unscaled,2024-01-31,0.048624,11.141786,0.0,2.6535,38.0656
linear,long_only,unscaled,2024-02-29,0.081309,12.047712,0.0,2.6898,36.1289
linear,long_only,unscaled,2024-03-31,0.063727,12.815472,0.0,3.1685,42.4535
linear,long_only,unscaled,2024-04-30,0.152923,14.775256,0.0,3.2714,56.9445
linear,long_only,unscaled,2024-05-31,0.006505,14.871367,0.0,3.0859,54.8884
linear,long_only,unscaled,2024-06-30,0.0333,15.366589,0.0,3.6945,60.3279
linear,long_only,unscaled,2024-07-31,0.020293,15.678428,0.0,4.288,64.1748
linear,long_only,unscaled,2024-08-31,0.028879,16.131207,0.0,4.6301,66.4314
linear,long_only,unscaled,2024-09-30,0.002811,16.176548,0.0,4.2432,63.9418
linear,long_only,unscaled,2024-10-31,-0.024476,15.780608,-0.024476,3.2295,53.8203
linear,long_only,unscaled,2024-11-30,0.025591,16.184446,0.0,2.9675,46.6678
linear,long_only,unscaled,2024-12-31,0.008448,16.32117,0.0,2.8017,44.7933
linear,long_only,unscaled,2025-01-31,0.028963,16.793875,0.0,2.6838,42.8272
linear,long_only,unscaled,2025-02-28,0.012084,16.996811,0.0,2.3489,35.9047
linear,long_only,unscaled,2025-03-31,0.012751,17.213531,0.0,2.0674,30.8071
linear,long_only,unscaled,2025-04-30,0.038234,17.871669,0.0,3.2612,19.3382
linear,long_only,unscaled,2025-05-31,0.039469,18.577043,0.0,3.619,22.6346
linear,long_only,unscaled,2025-06-30,0.018738,18.925148,0.0,3.4983,21.1784
linear,long_only,unscaled,2025-07-31,0.058576,20.033715,0.0,3.4184,25.0067
linear,long_only,unscaled,2025-08-31,0.03018,20.638332,0.0,3.4283,25.1368
linear,long_only,unscaled,2025-09-30,0.060985,21.896969,0.0,3.8518,30.9543
linear,long_only,unscaled,2025-10-31,0.063423,23.285745,0.0,5.8963,39.7442
linear,long_only,unscaled,2025-11-30,0.040717,24.233879,0.0,6.134,41.2569
linear,long_only,unscaled,2025-12-31,0.212219,29.376762,0.0,3.3175,61.6339
linear,long_only,scaled,2021-01-31,0.008391,1.008391,0.0,,
linear,long_only,scaled,2021-02-28,0.029608,1.038247,0.0,,
linear,long_only,scaled,2021-03-31,0.007797,1.046342,0.0,,
linear,long_only,scaled,2021-04-30,0.018843,1.066057,0.0,,
linear,long_only,scaled,2021-05-31,0.066526,1.136978,0.0,,
linear,long_only,scaled,2021-06-30,0.116441,1.269369,0.0,,
linear,long_only,scaled,2021-07-31,0.033323,1.311669,0.0,,
linear,long_only,scaled,2021-08-31,0.023915,1.343038,0.0,,
linear,long_only,scaled,2021-09-30,0.045469,1.404104,0.0,,
linear,long_only,scaled,2021-10-31,0.004783,1.41082,0.0,,
linear,long_only,scaled,2021-11-30,0.032442,1.45659,0.0,,
linear,long_only,scaled,2021-12-31,0.049895,1.529267,0.0,4.0457,43.7433
linear,long_only,scaled,2022-01-31,0.005848,1.53821,0.0,3.9946,43.489
linear,long_only,scaled,2022-02-28,0.034062,1.590604,0.0,4.0431,43.9344
linear,long_only,scaled,2022-03-31,0.002577,1.594703,0.0,3.9363,43.4124
linear,long_only,scaled,2022-04-30,0.017006,1.621822,0.0,3.908,43.2288
linear,long_only,scaled,2022-05-31,-0.007149,1.610228,-0.007149,3.1745,35.8612
linear,long_only,scaled,2022-06-30,0.015682,1.63548,0.0,4.1369,25.7853
linear,long_only,scaled,2022-07-31,0.009811,1.651525,0.0,3.7862,23.4341
linear,long_only,scaled,2022-08-31,0.020174,1.684843,0.0,3.7364,23.06
linear,long_only,scaled,2022-09-30,0.040008,1.75225,0.0,3.7915,22.5139
linear,long_only,scaled,2022-10-31,0.088234,1.906859,0.0,3.4621,30.859
linear,long_only,scaled,2022-11-30,0.020339,1.945642,0.0,3.3328,29.6487
linear,long_only,scaled,2022-12-31,0.035787,2.01527,0.0,3.2965,28.2378
linear,long_only,scaled,2023-01-31,0.014446,2.044382,0.0,3.4582,29.0976
linear,long_only,scaled,2023-02-28,0.033558,2.112988,0.0,3.4548,29.0472
linear,long_only,scaled,2023-03-31,0.00016,2.113327,0.0,3.3974,28.8056
linear,long_only,scaled,2023-04-30,0.002671,2.118972,0.0,3.137,27.3721
linear,long_only,scaled,2023-05-31,0.009022,2.138089,0.0,3.5108,28.9892
linear,long_only,scaled,2023-06-30,-0.007031,2.123055,-0.007031,3.0342,26.7179
linear,long_only,scaled,2023-07-31,-0.006595,2.109054,-0.01358,2.725,25.0773
linear,long_only,scaled,2023-08-31,0.00229,2.113885,-0.01132,2.4802,23.289
linear,long_only,scaled,2023-09-30,0.010053,2.135135,-0.001381,2.2185,20.2934
linear,long_only,scaled,2023-10-31,0.027843,2.194583,0.0,2.7863,14.2542
linear,long_only,scaled,2023-11-30,0.035236,2.271911,0.0,2.8213,15.744
linear,long_only,scaled,2023-12-31,0.009866,2.294326,0.0,2.6283,13.1519
linear,long_only,scaled,2024-01-31,0.018085,2.335817,0.0,2.6792,13.5158
linear,long_only,scaled,2024-02-29,0.030241,2.406455,0.0,2.6943,13.184
linear,long_only,scaled,2024-03-31,0.023702,2.463492,0.0,3.1766,15.5382
linear,long_only,scaled,2024-04-30,0.056876,2.603607,0.0,3.2671,20.9587
linear,long_only,scaled,2024-05-31,0.002419,2.609906,0.0,3.1025,20.2985
