variant,strategy,scaling,eom,return,cumulative_wealth,drawdown,rolling_sharpe_12m,rolling_return_12m
per_feature,long_only,unscaled,2021-01-31,0.033554,1.033554,0.0,,
per_feature,long_only,unscaled,2021-02-28,0.086964,1.123436,0.0,,
per_feature,long_only,unscaled,2021-03-31,0.030211,1.157376,0.0,,
per_feature,long_only,unscaled,2021-04-30,0.096436,1.268988,0.0,,
per_feature,long_only,unscaled,2021-05-31,0.073076,1.36172,0.0,,
per_feature,long_only,unscaled,2021-06-30,0.123673,1.530127,0.0,,
per_feature,long_only,unscaled,2021-07-31,0.052608,1.610624,0.0,,
per_feature,long_only,unscaled,2021-08-31,0.085791,1.748802,0.0,,
per_feature,long_only,unscaled,2021-09-30,0.152413,2.015342,0.0,,
per_feature,long_only,unscaled,2021-10-31,0.050552,2.11722,0.0,,
per_feature,long_only,unscaled,2021-11-30,0.058885,2.241894,0.0,,
per_feature,long_only,unscaled,2021-12-31,0.075363,2.41085,0.0,7.4048,91.9524
per_feature,long_only,unscaled,2022-01-31,0.02578,2.473001,0.0,7.1608,91.175
per_feature,long_only,unscaled,2022-02-28,0.12233,2.775523,0.0,6.9994,94.7116
per_feature,long_only,unscaled,2022-03-31,-0.042945,2.656328,-0.042945,4.9291,87.3961
per_feature,long_only,unscaled,2022-04-30,0.02125,2.712774,-0.022608,4.3827,79.8775
per_feature,long_only,unscaled,2022-05-31,-0.033458,2.62201,-0.055309,3.3362,69.2241
per_feature,long_only,unscaled,2022-06-30,-0.00981,2.596288,-0.064577,2.7378,55.8758
per_feature,long_only,unscaled,2022-07-31,0.034306,2.685356,-0.032486,2.6451,54.0456
per_feature,long_only,unscaled,2022-08-31,-0.047504,2.557791,-0.078447,1.865,40.7161
per_feature,long_only,unscaled,2022-09-30,0.056755,2.702959,-0.026144,1.739,31.1503
per_feature,long_only,unscaled,2022-10-31,0.076035,2.908479,0.0,1.8248,33.6987
per_feature,long_only,unscaled,2022-11-30,0.056407,3.072536,0.0,1.8157,33.4508
per_feature,long_only,unscaled,2022-12-31,0.042132,3.201988,0.0,1.6947,30.1277
per_feature,long_only,unscaled,2023-01-31,0.007091,3.224692,0.0,1.5816,28.2588
per_feature,long_only,unscaled,2023-02-28,0.081387,3.48714,0.0,1.5352,24.1645
per_feature,long_only,unscaled,2023-03-31,0.008773,3.517734,0.0,2.0573,29.3363
per_feature,long_only,unscaled,2023-04-30,0.012222,3.560727,0.0,1.9869,28.4336
per_feature,long_only,unscaled,2023-05-31,0.056082,3.760421,0.0,2.84,37.3876
per_feature,long_only,unscaled,2023-06-30,0.072312,4.032346,0.0,3.525,45.5998
per_feature,long_only,unscaled,2023-07-31,-0.026366,3.92603,-0.026366,2.7343,39.5327
per_feature,long_only,unscaled,2023-08-31,-0.006797,3.899346,-0.032983,3.5118,43.6034
per_feature,long_only,unscaled,2023-09-30,-0.018789,3.826083,-0.051152,2.7052,36.049
per_feature,long_only,unscaled,2023-10-31,0.067693,4.085081,0.0,2.7016,35.2148
per_feature,long_only,unscaled,2023-11-30,0.067376,4.360316,0.0,2.7249,36.3117
per_feature,long_only,unscaled,2023-12-31,-0.022879,4.260554,-0.022879,2.0923,29.8106
per_feature,long_only,unscaled,2024-01-31,0.022126,4.354825,-0.001259,2.2173,31.3141
per_feature,long_only,unscaled,2024-02-29,-0.02213,4.258454,-0.023361,1.555,20.9624
per_feature,long_only,unscaled,2024-03-31,0.049881,4.470867,0.0,1.8151,25.0731
per_feature,long_only,unscaled,2024-04-30,0.002858,4.483644,0.0,1.7353,24.1367
per_feature,long_only,unscaled,2024-05-31,0.036303,4.646412,0.0,1.6432,22.1588
per_feature,long_only,unscaled,2024-06-30,-0.001936,4.637415,-0.001936,1.204,14.7339
per_feature,long_only,unscaled,2024-07-31,0.05247,4.880741,0.0,1.8754,22.6175
per_feature,long_only,unscaled,2024-08-31,0.018647,4.971753,0.0,2.1444,25.1619
per_feature,long_only,unscaled,2024-09-30,-0.005136,4.946218,-0.005136,2.3475,26.5271
per_feature,long_only,unscaled,2024-10-31,-0.011234,4.890652,-0.016312,1.7648,18.6344
per_feature,long_only,unscaled,2024-11-30,0.019719,4.987091,0.0,1.5478,13.8688
per_feature,long_only,unscaled,2024-12-31,0.022569,5.099643,0.0,2.253,18.4136
per_feature,long_only,unscaled,2025-01-31,0.023902,5.221534,0.0,2.2697,18.5912
per_feature,long_only,unscaled,2025-02-28,-0.036242,5.032294,-0.036242,1.9128,17.1799
per_feature,long_only,unscaled,2025-03-31,0.007741,5.071248,-0.028782,1.5993,12.9659
per_feature,long_only,unscaled,2025-04-30,0.027876,5.212612,-0.001709,1.8806,15.4677
per_feature,long_only,unscaled,2025-05-31,0.031545,5.377042,0.0,1.8532,14.9919
per_feature,long_only,unscaled,2025-06-30,0.016815,5.467459,0.0,2.1241,16.8671
per_feature,long_only,unscaled,2025-07-31,0.069735,5.848733,0.0,2.0722,18.5936
per_feature,long_only,unscaled,2025-08-31,0.026643,6.004561,0.0,2.1456,19.3932
per_feature,long_only,unscaled,2025-09-30,0.027222,6.16802,0.0,2.5766,22.629
per_feature,long_only,unscaled,2025-10-31,0.067392,6.583698,0.0,3.2628,30.4917
per_feature,long_only,unscaled,2025-11-30,0.044298,6.875342,0.0,3.467,32.9496
per_feature,long_only,unscaled,2025-12-31,0.10871,7.622759,0.0,3.3349,41.5637
per_feature,long_only,scaled,2021-01-31,0.017672,1.017672,0.0,,
per_feature,long_only,scaled,2021-02-28,0.045802,1.064283,0.0,,
per_feature,long_only,scaled,2021-03-31,0.015911,1.081218,0.0,,
per_feature,long_only,scaled,2021-04-30,0.05079,1.136133,0.0,,
per_feature,long_only,scaled,2021-05-31,0.038487,1.17986,0.0,,
per_feature,long_only,scaled,2021-06-30,0.065136,1.25671,0.0,,
per_feature,long_only,scaled,2021-07-31,0.027461,1.291221,0.0,,
per_feature,long_only,scaled,2021-08-31,0.044783,1.349046,0.0,,
per_feature,long_only,scaled,2021-09-30,0.079559,1.456375,0.0,,
per_feature,long_only,scaled,2021-10-31,0.026388,1.494806,0.0,,
per_feature,long_only,scaled,2021-11-30,0.030738,1.540753,0.0,,
per_feature,long_only,scaled,2021-12-31,0.039339,1.601365,0.0,7.4105,48.2067
per_feature,long_only,scaled,2022-01-31,0.014554,1.624672,0.0,7.2249,47.8949
per_feature,long_only,scaled,2022-02-28,0.069063,1.736876,0.0,6.9414,50.221
per_feature,long_only,scaled,2022-03-31,-0.024245,1.694765,-0.024245,4.8384,46.2054
per_feature,long_only,scaled,2022-04-30,0.011997,1.715097,-0.012539,4.3233,42.326
per_feature,long_only,scaled,2022-05-31,-0.018889,1.682701,-0.031191,3.2759,36.5884
per_feature,long_only,scaled,2022-06-30,-0.005538,1.673381,-0.036557,2.6807,29.521
per_feature,long_only,scaled,2022-07-31,0.01847,1.704288,-0.018763,2.5965,28.6218
per_feature,long_only,scaled,2022-08-31,-0.025575,1.6607,-0.043858,1.8316,21.586
per_feature,long_only,scaled,2022-09-30,0.030556,1.711444,-0.014642,1.6936,16.6857
per_feature,long_only,scaled,2022-10-31,0.040936,1.781504,0.0,1.7861,18.1405
per_feature,long_only,scaled,2022-11-30,0.030368,1.835604,0.0,1.7836,18.1035
per_feature,long_only,scaled,2022-12-31,0.022683,1.877241,0.0,1.6691,16.4378
per_feature,long_only,scaled,2023-01-31,0.003923,1.884606,0.0,1.5537,15.3747
per_feature,long_only,scaled,2023-02-28,0.045027,1.969464,0.0,1.5059,12.9711
per_feature,long_only,scaled,2023-03-31,0.004854,1.979023,0.0,2.0433,15.881
per_feature,long_only,scaled,2023-04-30,0.006762,1.992405,0.0,1.9692,15.3575
per_feature,long_only,scaled,2023-05-31,0.031027,2.054224,0.0,2.843,20.3491
per_feature,long_only,scaled,2023-06-30,0.040006,2.136406,0.0,3.5354,24.9036
per_feature,long_only,scaled,2023-07-31,-0.015733,2.102795,-0.015733,2.7062,21.4834
per_feature,long_only,scaled,2023-08-31,-0.004056,2.094266,-0.019725,3.4389,23.6354
per_feature,long_only,scaled,2023-09-30,-0.011211,2.070787,-0.030715,2.6289,19.4586
per_feature,long_only,scaled,2023-10-31,0.040393,2.154432,0.0,2.6285,19.4044
per_feature,long_only,scaled,2023-11-30,0.040204,2.241048,0.0,2.6653,20.3879
per_feature,long_only,scaled,2023-12-31,-0.013652,2.210453,-0.013652,2.0438,16.7544
per_feature,long_only,scaled,2024-01-31,0.013166,2.239556,-0.000666,2.1756,17.6787
per_feature,long_only,scaled,2024-02-29,-0.013168,2.210065,-0.013825,1.5131,11.8592
per_feature,long_only,scaled,2024-03-31,0.029681,2.275662,0.0,1.7807,14.3419
per_feature,long_only,scaled,2024-04-30,0.001701,2.279532,0.0,1.7069,13.8358
per_feature,long_only,scaled,2024-05-31,0.021602,2.328774,0.0,1.6298,12.8932
per_feature,long_only,scaled,2024-06-30,-0.001152,2.326091,-0.001152,1.2029,8.7774
per_feature,long_only,scaled,2024-07-31,0.032828,2.402453,0.0,1.8833,13.6335
per_feature,long_only,scaled,2024-08-31,0.011667,2.430481,0.0,2.1593,15.2057
per_feature,long_only,scaled,2024-09-30,-0.003213,2.422671,-0.003213,2.3583,16.0055
per_feature,long_only,scaled,2024-10-31,-0.007029,2.405643,-0.010219,1.7686,11.2633
per_feature,long_only,scaled,2024-11-30,0.012337,2.435322,0.0,1.5585,8.4767
per_feature,long_only,scaled,2024-12-31,0.01412,2.46971,0.0,2.2624,11.254
per_feature,long_only,scaled,2025-01-31,0.017508,2.512948,0.0,2.3241,11.6881
per_feature,long_only,scaled,2025-02-28,-0.026546,2.446238,-0.026546,1.7811,10.3503
per_feature,long_only,scaled,2025-03-31,0.00567,2.460108,-0.021027,1.4889,7.9492
per_feature,long_only,scaled,2025-04-30,0.020418,2.510339,-0.001038,1.7932,9.8209
per_feature,long_only,scaled,2025-05-31,0.023106,2.568342,0.0,1.8067,9.9713
per_feature,long_only,scaled,2025-06-30,0.012317,2.599976,0.0,2.0841,11.3182
per_feature,long_only,scaled,2025-07-31,0.059766,2.755365,0.0,1.9718,14.0119
per_feature,long_only,scaled,2025-08-31,0.022834,2.818281,0.0,2.1032,15.1287
per_feature,long_only,scaled,2025-09-30,0.023331,2.884034,0.0,2.5243,17.7831
per_feature,long_only,scaled,2025-10-31,0.057758,3.050609,0.0,3.1136,24.2617
per_feature,long_only,scaled,2025-11-30,0.037965,3.166425,0.0,3.3828,26.8245
per_feature,long_only,scaled,2025-12-31,0.093168,3.461436,0.0,3.2939,34.7293
per_feature,long_short,unscaled,2021-01-31,0.02958,1.02958,0.0,,
per_feature,long_short,unscaled,2021-02-28,0.210723,1.246537,0.0,,
per_feature,long_short,unscaled,2021-03-31,-0.001003,1.245286,-0.001003,,
per_feature,long_short,unscaled,2021-04-30,0.133399,1.411406,0.0,,
per_feature,long_short,unscaled,2021-05-31,0.143904,1.614513,0.0,,
per_feature,long_short,unscaled,2021-06-30,-0.008102,1.601432,-0.008102,,
per_feature,long_short,unscaled,2021-07-31,0.01665,1.628096,0.0,,
per_feature,long_short,unscaled,2021-08-31,0.104737,1.798618,0.0,,
per_feature,long_short,unscaled,2021-09-30,0.210011,2.176347,0.0,,
per_feature,long_short,unscaled,2021-10-31,0.1836,2.575924,0.0,,
per_feature,long_short,unscaled,2021-11-30,0.093972,2.81799,0.0,,
per_feature,long_short,unscaled,2021-12-31,0.234035,3.477498,0.0,4.4567,135.1506
per_feature,long_short,unscaled,2022-01-31,-0.111669,3.08917,-0.111669,3.2637,121.0257
per_feature,long_short,unscaled,2022-02-28,0.117359,3.45171,-0.007416,3.1738,111.6893
per_feature,long_short,unscaled,2022-03-31,-0.08048,3.173916,-0.087299,2.7107,103.7416
per_feature,long_short,unscaled,2022-04-30,-0.005941,3.155061,-0.092721,2.3064,89.8076
per_feature,long_short,unscaled,2022-05-31,0.124676,3.548422,0.0,2.2761,87.8848
per_feature,long_short,unscaled,2022-06-30,0.044759,3.707247,0.0,2.4681,93.1709
per_feature,long_short,unscaled,2022-07-31,0.009867,3.743825,0.0,2.4421,92.4926
per_feature,long_short,unscaled,2022-08-31,0.15703,4.331719,0.0,2.5287,97.7219
per_feature,long_short,unscaled,2022-09-30,0.050519,4.550554,0.0,2.2677,81.7728
per_feature,long_short,unscaled,2022-10-31,-0.001006,4.545978,-0.001006,1.8461,63.3122
per_feature,long_short,unscaled,2022-11-30,0.076824,4.895217,0.0,1.8057,61.5974
per_feature,long_short,unscaled,2022-12-31,-0.017339,4.810339,-0.017339,1.2943,36.46
per_feature,long_short,unscaled,2023-01-31,0.045563,5.029512,0.0,2.2183,52.1831
per_feature,long_short,unscaled,2023-02-28,0.117331,5.619627,0.0,2.2182,52.1803
per_feature,long_short,unscaled,2023-03-31,0.059576,5.954423,0.0,3.4376,66.186
per_feature,long_short,unscaled,2023-04-30,0.035169,6.163836,0.0,3.8534,70.297
per_feature,long_short,unscaled,2023-05-31,0.087727,6.704572,0.0,3.8898,66.6021
per_feature,long_short,unscaled,2023-06-30,0.027168,6.88672,0.0,3.7413,64.8429
per_feature,long_short,unscaled,2023-07-31,-0.007207,6.837089,-0.007207,3.5307,63.1356
per_feature,long_short,unscaled,2023-08-31,0.03363,7.067019,0.0,3.6763,50.7955
per_feature,long_short,unscaled,2023-09-30,0.183043,8.360587,0.0,3.2423,64.0479
per_feature,long_short,unscaled,2023-10-31,-0.022322,8.173966,-0.022322,3.021,61.9163
per_feature,long_short,unscaled,2023-11-30,0.046006,8.550019,0.0,2.8965,58.8345
per_feature,long_short,unscaled,2023-12-31,0.154377,9.869944,0.0,3.5484,76.0061
per_feature,long_short,unscaled,2024-01-31,-0.12012,8.684362,-0.12012,2.1047,59.4378
per_feature,long_short,unscaled,2024-02-29,0.016269,8.82565,-0.105805,1.8011,49.3317
per_feature,long_short,unscaled,2024-03-31,0.236427,10.912275,0.0,1.9899,67.0168
per_feature,long_short,unscaled,2024-04-30,0.079951,11.784726,0.0,2.123,71.495
per_feature,long_short,unscaled,2024-05-31,0.120718,13.207349,0.0,2.1911,74.794
per_feature,long_short,unscaled,2024-06-30,-0.015167,13.00703,-0.015167,2.0238,70.5605
per_feature,long_short,unscaled,2024-07-31,0.057868,13.759726,0.0,2.2587,77.068
per_feature,long_short,unscaled,2024-08-31,-0.041886,13.183381,-0.041886,1.9494,69.5164
per_feature,long_short,unscaled,2024-09-30,-0.001843,13.159081,-0.043652,1.5324,51.0278
per_feature,long_short,unscaled,2024-10-31,0.007667,13.25997,-0.03632,1.6475,54.0266
per_feature,long_short,unscaled,2024-11-30,0.168051,15.48832,0.0,1.8908,66.2311
per_feature,long_short,unscaled,2024-12-31,-0.035647,14.936202,-0.035647,1.3767,47.2287
per_feature,long_short,unscaled,2025-01-31,0.087072,16.236721,0.0,2.2838,67.9479
per_feature,long_short,unscaled,2025-02-28,0.161825,18.864226,0.0,2.6505,82.5035
per_feature,long_short,unscaled,2025-03-31,-0.155688,15.927285,-0.155688,1.3223,43.2919
per_feature,long_short,unscaled,2025-04-30,-0.0472,15.175513,-0.19554,0.917,30.5767
per_feature,long_short,unscaled,2025-05-31,0.031206,15.649083,-0.170436,0.6818,21.6256
per_feature,long_short,unscaled,2025-06-30,0.045624,16.363059,-0.132588,0.8766,27.7047
per_feature,long_short,unscaled,2025-07-31,0.081104,17.690167,-0.062237,0.9393,30.0283
per_feature,long_short,unscaled,2025-08-31,-0.000214,17.686375,-0.062438,1.0932,34.1955
per_feature,long_short,unscaled,2025-09-30,-0.079757,16.275755,-0.137216,0.7995,26.4041
