variant,strategy,scaling,eom,return,cumulative_wealth,drawdown,rolling_sharpe_12m,rolling_return_12m
periodic,long_only,unscaled,2021-01-31,0.013912,1.013912,0.0,,
periodic,long_only,unscaled,2021-02-28,0.043398,1.057913,0.0,,
periodic,long_only,unscaled,2021-03-31,0.030476,1.090154,0.0,,
periodic,long_only,unscaled,2021-04-30,0.122034,1.22319,0.0,,
periodic,long_only,unscaled,2021-05-31,0.277915,1.563134,0.0,,
periodic,long_only,unscaled,2021-06-30,0.501678,2.347323,0.0,,
periodic,long_only,unscaled,2021-07-31,0.053525,2.472963,0.0,,
periodic,long_only,unscaled,2021-08-31,0.113422,2.753452,0.0,,
periodic,long_only,unscaled,2021-09-30,0.103838,3.039365,0.0,,
periodic,long_only,unscaled,2021-10-31,0.04936,3.189388,0.0,,
periodic,long_only,unscaled,2021-11-30,0.104413,3.522403,0.0,,
periodic,long_only,unscaled,2021-12-31,0.11667,3.933361,0.0,3.2364,153.0641
periodic,long_only,unscaled,2022-01-31,0.03652,4.077006,0.0,3.3222,155.3249
periodic,long_only,unscaled,2022-02-28,0.078784,4.398209,0.0,3.4406,158.8635
periodic,long_only,unscaled,2022-03-31,0.01559,4.466777,0.0,3.3805,157.3749
periodic,long_only,unscaled,2022-04-30,0.007646,4.50093,0.0,3.0293,145.9361
periodic,long_only,unscaled,2022-05-31,0.010291,4.547249,0.0,2.5856,119.1737
periodic,long_only,unscaled,2022-06-30,0.073329,4.880695,0.0,5.4141,76.3388
periodic,long_only,unscaled,2022-07-31,0.081507,5.278508,0.0,5.5892,79.1371
periodic,long_only,unscaled,2022-08-31,0.051812,5.551998,0.0,5.5225,72.976
periodic,long_only,unscaled,2022-09-30,0.12267,6.233064,0.0,5.3492,74.8593
periodic,long_only,unscaled,2022-10-31,0.526325,9.513683,0.0,2.5361,122.5558
periodic,long_only,unscaled,2022-11-30,0.057022,10.056174,0.0,2.4276,117.8167
periodic,long_only,unscaled,2022-12-31,0.042679,10.485361,0.0,2.2632,110.4176
periodic,long_only,unscaled,2023-01-31,0.051398,11.024287,0.0,2.3014,111.9054
periodic,long_only,unscaled,2023-02-28,0.189477,13.113131,0.0,2.4834,122.9747
periodic,long_only,unscaled,2023-03-31,0.010464,13.250343,0.0,2.4681,122.4621
periodic,long_only,unscaled,2023-04-30,-0.002682,13.214806,-0.002682,2.4362,121.4293
periodic,long_only,unscaled,2023-05-31,0.027007,13.571694,0.0,2.485,123.1008
periodic,long_only,unscaled,2023-06-30,-0.041349,13.010519,-0.041349,2.165,111.633
periodic,long_only,unscaled,2023-07-31,-0.001644,12.989129,-0.042925,1.9706,103.3179
periodic,long_only,unscaled,2023-08-31,0.030527,13.385648,-0.013708,1.9229,101.1894
periodic,long_only,unscaled,2023-09-30,0.025445,13.726251,0.0,1.734,91.4669
periodic,long_only,unscaled,2023-10-31,0.094001,15.016528,0.0,2.3943,48.2344
periodic,long_only,unscaled,2023-11-30,0.185191,17.797448,0.0,2.4575,61.0513
periodic,long_only,unscaled,2023-12-31,0.089338,19.387445,0.0,2.617,65.7172
periodic,long_only,unscaled,2024-01-31,0.08628,21.060195,0.0,2.7352,69.2054
periodic,long_only,unscaled,2024-02-29,0.032358,21.741653,0.0,2.5641,53.4935
periodic,long_only,unscaled,2024-03-31,0.048059,22.786527,0.0,2.7891,57.253
periodic,long_only,unscaled,2024-04-30,0.085545,24.735798,0.0,3.2947,66.0757
periodic,long_only,unscaled,2024-05-31,0.040582,25.739632,0.0,3.3897,67.4333
periodic,long_only,unscaled,2024-06-30,0.086841,27.974887,0.0,4.735,80.2523
periodic,long_only,unscaled,2024-07-31,0.109824,31.047204,0.0,5.8409,91.3991
periodic,long_only,unscaled,2024-08-31,0.083629,33.64366,0.0,6.5174,96.7093
periodic,long_only,unscaled,2024-09-30,0.109549,37.329276,0.0,7.6316,105.1196
periodic,long_only,unscaled,2024-10-31,0.074786,40.120975,0.0,7.4723,103.1981
periodic,long_only,unscaled,2024-11-30,0.13544,45.554972,0.0,9.4595,98.2231
periodic,long_only,unscaled,2024-12-31,0.116932,50.881807,0.0,9.2207,100.9825
periodic,long_only,unscaled,2025-01-31,0.07487,54.691347,0.0,9.0873,99.8415
periodic,long_only,unscaled,2025-02-28,-0.026337,53.250917,-0.026337,6.3316,93.972
periodic,long_only,unscaled,2025-03-31,0.031086,54.906294,0.0,6.0276,92.2748
periodic,long_only,unscaled,2025-04-30,0.037583,56.969837,0.0,5.5514,87.4786
periodic,long_only,unscaled,2025-05-31,0.05528,60.119148,0.0,5.7403,88.9484
periodic,long_only,unscaled,2025-06-30,0.067438,64.173486,0.0,5.6341,87.0081
periodic,long_only,unscaled,2025-07-31,0.214319,77.927076,0.0,4.6848,97.4576
periodic,long_only,unscaled,2025-08-31,0.048476,81.704691,0.0,4.462,93.9423
