variant,strategy,scaling,eom,return,cumulative_wealth,drawdown,rolling_sharpe_12m,rolling_return_12m
ple,long_only,unscaled,2021-01-31,0.060395,1.060395,0.0,,
ple,long_only,unscaled,2021-02-28,0.07455,1.139447,0.0,,
ple,long_only,unscaled,2021-03-31,0.070033,1.219247,0.0,,
ple,long_only,unscaled,2021-04-30,0.108816,1.351921,0.0,,
ple,long_only,unscaled,2021-05-31,0.141193,1.542803,0.0,,
ple,long_only,unscaled,2021-06-30,0.177599,1.816802,0.0,,
ple,long_only,unscaled,2021-07-31,0.048024,1.904052,0.0,,
ple,long_only,unscaled,2021-08-31,0.083971,2.063936,0.0,,
ple,long_only,unscaled,2021-09-30,0.077232,2.223338,0.0,,
ple,long_only,unscaled,2021-10-31,0.035509,2.302287,0.0,,
ple,long_only,unscaled,2021-11-30,0.083899,2.495447,0.0,,
ple,long_only,unscaled,2021-12-31,0.10937,2.768375,0.0,7.7489,107.0592
ple,long_only,unscaled,2022-01-31,0.100943,3.047825,0.0,8.2402,111.114
ple,long_only,unscaled,2022-02-28,0.102124,3.359082,0.0,8.5212,113.8714
ple,long_only,unscaled,2022-03-31,-0.008557,3.330337,-0.008557,6.3021,106.0124
ple,long_only,unscaled,2022-04-30,0.039009,3.46025,0.0,5.7127,99.0316
ple,long_only,unscaled,2022-05-31,-0.034092,3.342283,-0.034092,4.1624,81.5031
ple,long_only,unscaled,2022-06-30,0.017334,3.400217,-0.017349,4.0864,65.4766
ple,long_only,unscaled,2022-07-31,0.032257,3.509898,0.0,3.9518,63.8999
ple,long_only,unscaled,2022-08-31,0.033958,3.629088,0.0,3.7032,58.8987
ple,long_only,unscaled,2022-09-30,0.096449,3.979109,0.0,3.712,60.8204
ple,long_only,unscaled,2022-10-31,0.367143,5.440009,0.0,2.6493,93.9837
ple,long_only,unscaled,2022-11-30,0.055715,5.743099,0.0,2.5653,91.1653
ple,long_only,unscaled,2022-12-31,0.016035,5.835192,0.0,2.2854,81.8318
ple,long_only,unscaled,2023-01-31,0.052233,6.139981,0.0,2.1587,76.9608
ple,long_only,unscaled,2023-02-28,0.077339,6.614844,0.0,2.1011,74.4823
ple,long_only,unscaled,2023-03-31,-0.017985,6.495876,-0.017985,2.0619,73.5395
ple,long_only,unscaled,2023-04-30,0.016147,6.600765,-0.002128,1.9851,71.2533
ple,long_only,unscaled,2023-05-31,0.039744,6.863105,0.0,2.2774,78.6369
ple,long_only,unscaled,2023-06-30,0.005972,6.904095,0.0,2.2321,77.5008
ple,long_only,unscaled,2023-07-31,-0.004074,6.875968,-0.004074,2.094,73.8677
ple,long_only,unscaled,2023-08-31,0.014365,6.974738,0.0,2.0258,71.9083
ple,long_only,unscaled,2023-09-30,0.021461,7.124422,0.0,1.8171,64.4095
ple,long_only,unscaled,2023-10-31,0.121349,7.988961,0.0,2.9725,39.8301
ple,long_only,unscaled,2023-11-30,0.117212,8.92536,0.0,2.9221,45.9798
ple,long_only,unscaled,2023-12-31,0.041939,9.299681,0.0,3.1241,48.5702
ple,long_only,unscaled,2024-01-31,0.038796,9.660475,0.0,3.048,47.2265
ple,long_only,unscaled,2024-02-29,0.028024,9.931195,0.0,2.829,42.2949
ple,long_only,unscaled,2024-03-31,0.020823,10.137994,0.0,3.3194,46.1757
ple,long_only,unscaled,2024-04-30,0.088079,11.030934,0.0,3.6811,53.3689
ple,long_only,unscaled,2024-05-31,-0.00011,11.029721,-0.00011,3.2549,49.3835
ple,long_only,unscaled,2024-06-30,0.02768,11.335023,0.0,3.4897,51.5542
ple,long_only,unscaled,2024-07-31,0.046585,11.863063,0.0,4.087,56.6201
