variant,strategy,scaling,year,ann_ret,ann_vol,sharpe,max_dd,cum_return,n_obs
fourier,long_only,scaled,2021,25.2656,5.9851,4.2214,0.0,26.7719,2
fourier,long_only,scaled,2022,10.226,9.1468,1.118,0.0,10.2783,2
fourier,long_only,scaled,2023,18.0823,4.3712,4.1367,0.0,18.8519,2
fourier,long_only,scaled,2024,8.1634,1.4809,5.5126,0.0,8.3246,2
fourier,long_only,scaled,2025,10.7808,11.3214,0.9522,0.2703,10.7509,2
fourier,long_only,unscaled,2021,75.7968,17.9554,4.2214,0.0,89.3536,2
fourier,long_only,unscaled,2022,30.678,27.4404,1.118,0.0,31.1484,2
fourier,long_only,unscaled,2023,51.5779,15.7825,3.2681,0.0,57.6059,2
fourier,long_only,unscaled,2024,16.1868,1.6953,9.5482,0.0,16.8346,2
fourier,long_only,unscaled,2025,19.6533,20.4614,0.9605,0.404,19.5723,2
fourier,long_short,scaled,2021,47.6575,3.2466,14.679,0.0,53.3092,2
fourier,long_short,scaled,2022,21.7147,9.2923,2.3369,0.0,22.6777,2
fourier,long_short,scaled,2023,29.6198,3.6532,8.1079,0.0,31.7797,2
fourier,long_short,scaled,2024,19.4165,5.3234,3.6474,0.0,20.2882,2
fourier,long_short,scaled,2025,13.5139,14.6424,0.9229,0.5643,13.4344,2
fourier,long_short,unscaled,2021,130.5707,0.8535,152.9915,0.0,173.1906,2
fourier,long_short,unscaled,2022,65.1442,27.8769,2.3369,0.0,73.8109,2
fourier,long_short,unscaled,2023,80.3526,2.4528,32.7589,0.0,96.4789,2
fourier,long_short,unscaled,2024,49.4524,14.1893,3.4852,0.0,55.0629,2
fourier,long_short,unscaled,2025,23.2904,25.048,0.9298,0.8788,23.078,2
fourier,country_composite_long_only,scaled,2021,15.4434,6.0483,2.5534,0.0,15.9482,2
fourier,country_composite_long_only,scaled,2022,2.1174,0.1463,14.4695,0.0,2.1285,2
fourier,country_composite_long_only,scaled,2023,5.679,0.1368,41.5266,0.0,5.7595,2
fourier,country_composite_long_only,scaled,2024,16.8861,4.8417,3.4877,0.0,17.5404,2
fourier,country_composite_long_only,scaled,2025,20.779,22.4435,0.9258,0.8322,20.5992,2
fourier,country_composite_long_only,unscaled,2021,46.3303,18.1448,2.5534,0.0,50.8735,2
fourier,country_composite_long_only,unscaled,2022,6.3521,0.439,14.4695,0.0,6.4525,2
fourier,country_composite_long_only,unscaled,2023,16.7841,0.1575,106.5679,0.0,17.4883,2
fourier,country_composite_long_only,unscaled,2024,15.6341,2.9281,5.3393,0.0,16.2237,2
fourier,country_composite_long_only,unscaled,2025,8.024,8.5789,0.9353,0.2774,8.001,2
fourier,country_composite_long_short,scaled,2021,13.7441,1.3366,10.283,0.0,14.2118,2
fourier,country_composite_long_short,scaled,2022,10.7415,1.9777,5.4312,0.0,11.0202,2
fourier,country_composite_long_short,scaled,2023,17.5137,4.6317,3.7813,0.0,18.2269,2
fourier,country_composite_long_short,scaled,2024,41.7378,16.3001,2.5606,0.0,45.4287,2
fourier,country_composite_long_short,scaled,2025,-6.5403,5.5073,-1.1876,0.5165,-6.5092,2
fourier,country_composite_long_short,unscaled,2021,35.0008,3.3833,10.3453,0.0,38.0348,2
fourier,country_composite_long_short,unscaled,2022,27.9984,5.3961,5.1886,0.0,29.8854,2
fourier,country_composite_long_short,unscaled,2023,36.9318,7.9087,4.6698,0.0,40.1853,2
fourier,country_composite_long_short,unscaled,2024,22.6518,8.8511,2.5592,0.0,23.7387,2
fourier,country_composite_long_short,unscaled,2025,-5.1199,3.7781,-1.3551,0.6709,-5.09,2
fourier,long_only_monthly,scaled,2021,34.0897,6.1859,5.5108,0.0,35.8842,11
fourier,long_only_monthly,scaled,2022,14.0065,8.2569,1.6963,2.9321,14.5919,12
fourier,long_only_monthly,scaled,2023,18.758,9.0736,2.0673,2.1371,20.02,12
fourier,long_only_monthly,scaled,2024,5.7576,6.5176,0.8834,4.6956,5.7031,12
fourier,long_only_monthly,scaled,2025,17.2121,5.1697,3.3294,1.9127,18.4952,12
fourier,long_only_monthly,scaled,2026,48.0431,0.0,,0.0,4.0036,1
fourier,long_only_monthly,unscaled,2021,73.0444,13.1882,5.5386,0.0,90.3347,11
fourier,long_only_monthly,unscaled,2022,30.4927,17.7743,1.7155,6.086,33.2954,12
fourier,long_only_monthly,unscaled,2023,37.8636,18.2964,2.0695,4.0188,43.1165,12
fourier,long_only_monthly,unscaled,2024,9.5592,10.8624,0.88,7.8718,9.3818,12
fourier,long_only_monthly,unscaled,2025,26.3857,8.0079,3.295,2.9897,29.4546,12
fourier,long_only_monthly,unscaled,2026,71.1166,0.0,,0.0,5.9264,1
fourier,long_short_monthly,scaled,2021,45.8275,8.3823,5.4672,0.0,50.6166,11
fourier,long_short_monthly,scaled,2022,24.7446,8.4343,2.9338,0.4155,27.3594,12
fourier,long_short_monthly,scaled,2023,24.3288,7.4026,3.2865,0.0,26.9296,12
fourier,long_short_monthly,scaled,2024,20.9744,11.1022,1.8892,6.6246,22.4381,12
fourier,long_short_monthly,scaled,2025,15.2516,14.0948,1.0821,11.514,15.3328,12
fourier,long_short_monthly,scaled,2026,-8.1449,0.0,,0.0,-0.6787,1
fourier,long_short_monthly,unscaled,2021,137.4824,25.1469,5.4672,0.0,222.9535,11
