variant,strategy,scaling,year,ann_ret,ann_vol,sharpe,max_dd,cum_return,n_obs
linear,long_only,scaled,2021,27.7296,11.867,2.3367,0.0,29.2999,2
linear,long_only,scaled,2022,9.7084,10.6527,0.9114,0.0,9.6604,2
linear,long_only,scaled,2023,10.8463,1.5747,6.8877,0.0,11.1342,2
linear,long_only,scaled,2024,9.447,0.7989,11.8244,0.0,9.6686,2
linear,long_only,scaled,2025,7.7587,8.2543,0.94,0.2478,7.7389,2
linear,long_only,unscaled,2021,83.1888,35.601,2.3367,0.0,97.3212,2
linear,long_only,unscaled,2022,29.1271,31.9564,0.9115,0.0,28.6951,2
linear,long_only,unscaled,2023,32.539,4.7242,6.8877,0.0,35.1302,2
linear,long_only,unscaled,2024,21.3678,8.118,2.6322,0.0,22.3445,2
linear,long_only,unscaled,2025,11.9884,12.5544,0.9549,0.283,11.9536,2
linear,long_short,scaled,2021,50.3618,7.5917,6.6338,0.0,56.5585,2
linear,long_short,scaled,2022,23.0136,14.8513,1.5496,0.0,23.7863,2
linear,long_short,scaled,2023,26.7146,9.2845,2.8773,0.0,28.2832,2
linear,long_short,scaled,2024,16.1999,14.9255,1.0854,0.0,16.2991,2
linear,long_short,scaled,2025,-0.3188,0.1415,-2.2529,0.2302,-0.3186,2
linear,long_short,unscaled,2021,151.0853,22.7752,6.6338,0.0,206.8555,2
linear,long_short,unscaled,2022,69.0409,44.5539,1.5496,0.0,75.9949,2
linear,long_short,unscaled,2023,80.1437,27.8535,2.8773,0.0,94.2617,2
linear,long_short,unscaled,2024,48.4936,44.8825,1.0805,0.0,49.3365,2
linear,long_short,unscaled,2025,-0.9565,0.4246,-2.2529,0.6906,-0.9547,2
linear,country_composite_long_only,scaled,2021,15.8369,4.2207,3.7522,0.0,16.4194,2
linear,country_composite_long_only,scaled,2022,4.0528,2.7863,1.4546,0.0,4.0744,2
linear,country_composite_long_only,scaled,2023,4.6877,2.9042,1.6141,0.0,4.7216,2
linear,country_composite_long_only,scaled,2024,21.9362,11.565,1.8968,0.0,22.8048,2
linear,country_composite_long_only,scaled,2025,8.906,10.2366,0.87,0.6653,8.8423,2
linear,country_composite_long_only,unscaled,2021,44.9314,15.2415,2.948,0.0,49.3977,2
linear,country_composite_long_only,unscaled,2022,10.5414,7.5902,1.3888,0.0,10.6752,2
