variant,strategy,scaling,year,ann_ret,ann_vol,sharpe,max_dd,cum_return,n_obs
per_feature,long_only,scaled,2021,30.0593,0.3259,92.2396,0.0,32.3179,2
per_feature,long_only,scaled,2022,14.4885,5.5722,2.6001,0.0,14.9356,2
per_feature,long_only,scaled,2023,11.1573,2.1122,5.2822,0.0,11.4573,2
per_feature,long_only,scaled,2024,14.8126,5.6876,2.6043,0.0,15.2802,2
per_feature,long_only,scaled,2025,12.5031,13.0374,0.959,0.2671,12.469,2
per_feature,long_only,unscaled,2021,90.1406,1.0149,88.8168,0.0,110.4514,2
per_feature,long_only,unscaled,2022,43.0162,17.1659,2.5059,0.0,46.9055,2
per_feature,long_only,unscaled,2023,31.3356,6.6799,4.691,0.0,33.6789,2
per_feature,long_only,unscaled,2024,29.3275,9.8275,2.9842,0.0,31.2363,2
per_feature,long_only,unscaled,2025,13.0128,13.5661,0.9592,0.2766,12.9761,2
per_feature,long_short,scaled,2021,37.2736,6.1055,6.1049,0.0,40.6538,2
per_feature,long_short,scaled,2022,23.4127,1.9315,12.1216,0.0,24.7738,2
per_feature,long_short,scaled,2023,21.7551,12.0742,1.8018,0.0,22.5738,2
per_feature,long_short,scaled,2024,21.2619,3.0504,6.9701,0.0,22.3688,2
per_feature,long_short,scaled,2025,3.3867,3.9928,0.8482,0.303,3.3755,2
per_feature,long_short,unscaled,2021,111.8209,18.3166,6.1049,0.0,142.2419,2
per_feature,long_short,unscaled,2022,70.2382,5.7945,12.1216,0.0,82.4878,2
per_feature,long_short,unscaled,2023,55.1367,26.094,2.113,0.0,61.0347,2
per_feature,long_short,unscaled,2024,51.8495,8.8981,5.827,0.0,58.3725,2
per_feature,long_short,unscaled,2025,4.5944,5.7817,0.7946,0.5937,4.5636,2
per_feature,country_composite_long_only,scaled,2021,16.5003,6.3395,2.6028,0.0,17.0804,2
per_feature,country_composite_long_only,scaled,2022,7.8879,0.9858,8.0019,0.0,8.041,2
per_feature,country_composite_long_only,scaled,2023,5.5164,0.3245,16.9988,0.0,5.5922,2
per_feature,country_composite_long_only,scaled,2024,41.2882,28.6816,1.4395,0.0,43.4935,2
per_feature,country_composite_long_only,scaled,2025,25.417,26.8481,0.9467,0.7156,25.23,2
per_feature,country_composite_long_only,unscaled,2021,48.5698,19.9496,2.4346,0.0,53.4724,2
per_feature,country_composite_long_only,unscaled,2022,23.0024,3.5888,6.4096,0.0,24.293,2
per_feature,country_composite_long_only,unscaled,2023,16.3109,0.7351,22.1875,0.0,16.9746,2
per_feature,country_composite_long_only,unscaled,2024,22.3868,4.6411,4.8236,0.0,23.5859,2
per_feature,country_composite_long_only,unscaled,2025,9.0063,9.5191,0.9461,0.2564,8.9826,2
per_feature,country_composite_long_short,scaled,2021,11.3407,3.1642,3.5841,0.0,11.6372,2
per_feature,country_composite_long_short,scaled,2022,17.6406,2.5939,6.8008,0.0,18.4017,2
per_feature,country_composite_long_short,scaled,2023,15.0158,6.839,2.1956,0.0,15.4625,2
per_feature,country_composite_long_short,scaled,2024,22.3748,3.0895,7.2422,0.0,23.6025,2
