variant,strategy,scaling,year,ann_ret,ann_vol,sharpe,max_dd,cum_return,n_obs
periodic,long_only,scaled,2021,28.6997,5.2374,5.4798,0.0,30.6903,2
periodic,long_only,scaled,2022,10.0578,9.036,1.1131,0.0,10.1066,2
periodic,long_only,scaled,2023,7.9418,2.4872,3.1931,0.0,8.0841,2
periodic,long_only,scaled,2024,10.1439,2.8474,3.5625,0.0,10.3809,2
periodic,long_only,scaled,2025,11.0311,11.5874,0.952,0.2781,10.9996,2
periodic,long_only,unscaled,2021,81.7843,15.7754,5.1843,0.0,97.8838,2
periodic,long_only,unscaled,2022,29.9791,27.3022,1.098,0.0,30.3625,2
periodic,long_only,unscaled,2023,22.6296,8.6574,2.6139,0.0,23.7225,2
periodic,long_only,unscaled,2024,20.7347,2.424,8.554,0.0,21.7949,2
periodic,long_only,unscaled,2025,14.6272,15.2301,0.9604,0.3015,14.5822,2
periodic,long_short,scaled,2021,54.0683,8.3376,6.4849,0.0,61.2029,2
periodic,long_short,scaled,2022,22.7691,5.3309,4.2711,0.0,23.9941,2
periodic,long_short,scaled,2023,18.5123,7.6165,2.4305,0.0,19.2241,2
periodic,long_short,scaled,2024,20.6151,4.4956,4.5856,0.0,21.6271,2
periodic,long_short,scaled,2025,11.8922,12.7327,0.934,0.4203,11.8404,2
periodic,long_short,unscaled,2021,143.044,5.8518,24.4443,0.0,194.1123,2
periodic,long_short,unscaled,2022,68.3073,15.9928,4.2711,0.0,79.3326,2
periodic,long_short,unscaled,2023,55.537,22.8496,2.4305,0.0,61.9426,2
periodic,long_short,unscaled,2024,57.3412,8.9826,6.3836,0.0,65.3596,2
periodic,long_short,unscaled,2025,16.3929,17.7205,0.9251,0.6638,16.2797,2
periodic,country_composite_long_only,scaled,2021,18.3456,9.4928,1.9326,0.0,18.9617,2
periodic,country_composite_long_only,scaled,2022,3.3537,0.1565,21.4334,0.0,3.3817,2
periodic,country_composite_long_only,scaled,2023,6.4823,0.3971,16.3234,0.0,6.5869,2
periodic,country_composite_long_only,scaled,2024,30.5128,20.3914,1.4964,0.0,31.8008,2
periodic,country_composite_long_only,scaled,2025,22.9481,24.5124,0.9362,0.7821,22.7625,2
periodic,country_composite_long_only,unscaled,2021,51.3705,28.6571,1.7926,0.0,55.9147,2
periodic,country_composite_long_only,unscaled,2022,9.0485,0.8755,10.3351,0.0,9.2513,2
periodic,country_composite_long_only,unscaled,2023,17.8612,0.3529,50.6127,0.0,18.6585,2
periodic,country_composite_long_only,unscaled,2024,19.8616,0.5666,35.0547,0.0,20.847,2
periodic,country_composite_long_only,unscaled,2025,8.4385,8.9599,0.9418,0.2607,8.4158,2
periodic,country_composite_long_short,scaled,2021,14.4826,3.3867,4.2763,0.0,14.9783,2
periodic,country_composite_long_short,scaled,2022,19.3464,5.6879,3.4013,0.0,20.2012,2
periodic,country_composite_long_short,scaled,2023,30.1697,11.3116,2.6671,0.0,32.1254,2
periodic,country_composite_long_short,scaled,2024,46.082,11.4606,4.0209,0.0,51.0626,2
periodic,country_composite_long_short,scaled,2025,-9.6246,8.7445,-1.1006,0.44,-9.5842,2
periodic,country_composite_long_short,unscaled,2021,33.2036,6.7296,4.934,0.0,35.8465,2
periodic,country_composite_long_short,unscaled,2022,33.884,3.9198,8.6443,0.0,36.7159,2
periodic,country_composite_long_short,unscaled,2023,32.0212,8.9926,3.5608,0.0,34.3825,2
periodic,country_composite_long_short,unscaled,2024,24.2371,6.9726,3.4761,0.0,25.5842,2
periodic,country_composite_long_short,unscaled,2025,-6.375,5.1793,-1.2308,0.5978,-6.3404,2
periodic,long_only_monthly,scaled,2021,36.8016,4.9856,7.3816,0.0,39.2784,11
periodic,long_only_monthly,scaled,2022,9.9732,8.8828,1.1228,5.7874,10.0483,12
periodic,long_only_monthly,scaled,2023,11.926,7.5162,1.5867,4.9434,12.3133,12
periodic,long_only_monthly,scaled,2024,3.998,6.1026,0.6551,3.5369,3.8944,12
periodic,long_only_monthly,scaled,2025,20.5186,6.6626,3.0797,2.0757,22.3226,12
