variant,strategy,scaling,year,ann_ret,ann_vol,sharpe,max_dd,cum_return,n_obs
ple,long_only,scaled,2021,18.9766,6.4325,2.9501,0.0,19.7735,2
ple,long_only,scaled,2022,1.453,4.0992,0.3545,0.0,1.4163,2
ple,long_only,scaled,2023,7.0224,5.1644,1.3598,0.0,7.079,2
ple,long_only,scaled,2024,1.5532,0.2153,7.2136,0.0,1.5591,2
ple,long_only,scaled,2025,25.666,25.965,0.9885,0.1495,25.6274,2
ple,long_only,unscaled,2021,56.9299,19.2975,2.9501,0.0,64.1014,2
ple,long_only,unscaled,2022,4.359,12.2975,0.3545,0.0,4.0284,2
ple,long_only,unscaled,2023,21.0063,15.5539,1.3505,0.0,21.5046,2
ple,long_only,unscaled,2024,3.3213,0.5157,6.4401,0.0,3.3482,2
ple,long_only,unscaled,2025,27.7104,28.1656,0.9838,0.2276,27.6468,2
ple,long_short,scaled,2021,39.0859,9.1467,4.2732,0.0,42.696,2
ple,long_short,scaled,2022,15.7468,6.7306,2.3396,0.0,16.2534,2
ple,long_short,scaled,2023,15.0298,0.3585,41.924,0.0,15.5942,2
ple,long_short,scaled,2024,12.9309,4.6063,2.8072,0.0,13.2958,2
ple,long_short,scaled,2025,72.9577,73.4428,0.9934,0.2425,72.7802,2
ple,long_short,unscaled,2021,116.8793,27.8186,4.2015,0.0,149.0965,2
ple,long_short,unscaled,2022,47.2404,20.1918,2.3396,0.0,51.8002,2
ple,long_short,unscaled,2023,44.3271,1.8377,24.1207,0.0,49.2309,2
ple,long_short,unscaled,2024,38.6333,13.9781,2.7638,0.0,41.8761,2
ple,long_short,unscaled,2025,82.8504,84.3057,0.9827,0.7276,82.2423,2
ple,country_composite_long_only,scaled,2021,17.6428,7.3231,2.4092,0.0,18.287,2
ple,country_composite_long_only,scaled,2022,6.9567,2.0897,3.329,0.0,7.0668,2
ple,country_composite_long_only,scaled,2023,6.2185,0.1188,52.3525,0.0,6.3152,2
ple,country_composite_long_only,scaled,2024,25.5804,16.1957,1.5795,0.0,26.5606,2
ple,country_composite_long_only,scaled,2025,28.3578,30.1507,0.9405,0.8965,28.0956,2
ple,country_composite_long_only,unscaled,2021,52.9285,21.9692,2.4092,0.0,58.7255,2
ple,country_composite_long_only,unscaled,2022,20.87,6.2692,3.329,0.0,21.8607,2
ple,country_composite_long_only,unscaled,2023,16.6449,0.4778,34.8373,0.0,17.337,2
