variant,trial_number,epoch,train_loss,val_loss,corr_6m,base_corr_6m,path2_corr_6m
ple,1,1,1.1002367847259082,1.0476876651247342,0.11567616043127298,0.11208617430141506,0.14467579514627385
ple,1,2,0.9655802593093424,0.7664961747825145,0.1357626487966627,0.09071313829238838,0.13601637921916943
ple,1,3,0.8162733071838462,0.8457739923770229,0.138248507832274,0.08985409672216822,0.14056904362514616
ple,1,4,0.4414661838525226,0.837091010560592,0.13331612514642377,0.10734731238529396,0.13346166742655138
ple,1,5,0.3592333155499387,1.0892372500151395,0.13522348486779567,0.11430965979816392,0.13335166874652107
ple,1,6,0.24201723409535747,1.2315340297917525,0.13975541164788108,0.12255166669880661,0.13615635709526638
ple,1,7,0.27516533004578264,0.8613078307360411,0.14372453754767775,0.1272783778530235,0.14090889839765927
ple,1,8,0.2221510363890538,1.0405322304616371,0.14656081059171508,0.12987528015704206,0.1450451105988274
ple,1,9,0.1889712471211891,0.985095718378822,0.13493571095944693,0.11429122253442377,0.13258819968129198
ple,1,10,0.172441699102314,1.1248285909493765,0.13802136762145287,0.1188504535840669,0.13633408871149488
ple,1,11,0.1532857217599586,0.952302401761214,0.1367364366655238,0.12151987312439208,0.13618643616791815
ple,1,12,0.18883140548525032,0.8939060115255415,0.1383228021906689,0.12062335906472678,0.1378493078518659
ple,1,13,0.12314866482518569,1.404175392476221,0.1376682697038632,0.10592824297297436,0.1423886213141183
ple,1,14,0.0907903314466008,1.538283602334559,0.14135358702430192,0.10518384859121094,0.14507316647407908
ple,1,15,0.06186207114244878,1.7478965451320012,0.14211961990610386,0.11303187760834893,0.1437714200563884
ple,2,1,0.8395200869038938,0.857632277533412,0.09197446776282353,0.07496117343350003,0.1286890079267323
ple,2,2,1.0710632371834465,1.1291557800024747,0.13003864995359132,0.09099900753353722,0.13394800575139623
ple,2,3,0.48079906355234836,1.010184017335996,0.11523850767989643,0.08897854976045588,0.12711669357959182
ple,2,4,0.8536063626192377,1.3761964494983354,0.12223467269019844,0.10147868681488034,0.12389432675748442
ple,2,5,0.5464263689551329,0.6824589948480327,0.13293770332529675,0.1079839191341307,0.13281278125165652
ple,2,6,0.36823484604616485,0.8595604586104552,0.12707245913722243,0.09190251813658203,0.13578743755545777
ple,2,7,0.6381310888479227,0.7995382928910355,0.12844636028554912,0.09985006919208293,0.13389811478943253
ple,2,8,0.35190970682038275,0.74672359895582,0.12766519424815972,0.09874087064526975,0.13138706202929218
ple,2,9,0.2836371866213749,1.0293755324246983,0.1478314524089607,0.10708131908128658,0.1478221440066894
ple,2,10,0.4180474735397775,0.592419448805352,0.13008188545597174,0.09478299592786546,0.13460682985993724
ple,2,11,0.49708077144168783,0.6169084193184972,0.12500007385388018,0.10134990431639987,0.13563575623556973
ple,2,12,0.22779741491092229,0.6641663383692503,0.13640718990160774,0.10292595444673983,0.13808286463997016
ple,2,13,0.2657532341342183,0.5998695421032607,0.13763770130948008,0.10995752558422585,0.14355631719809026
ple,2,14,0.22185596304119654,0.7918619561940432,0.13040792394119005,0.0881275791209191,0.13795697980870802
ple,2,15,0.22409415371911895,0.6243161929150423,0.1374229584277297,0.11490153201351253,0.13687976036938684
ple,2,16,0.2292336021584185,0.9122353250781695,0.14011157410180505,0.1033855508469666,0.14088786554833252
ple,2,17,0.22746606796540114,0.7826443392162522,0.1350962656394889,0.10126037364085884,0.13800991328510767
ple,2,18,0.12907705190064872,0.6349373904056848,0.13356510235850388,0.09911486082710326,0.13683829492656513
ple,3,1,0.9221106682209268,0.723382572333018,0.11788945477674133,0.11678094569166812,0.13588687553225706
ple,3,2,1.1691474327078415,1.0063970636576414,0.13585441975543897,0.12499834032108387,0.1309735577708731
ple,3,3,0.8104892002274504,1.3158050775527954,0.12529028578816603,0.12908212221227586,0.11665394611191005
ple,3,4,0.379420821311041,1.6365970037256679,0.11727568210917524,0.10975519448596363,0.10809938446618617
ple,3,5,0.3127405929863305,0.7323316721866528,0.11298846576052407,0.10026691213521796,0.10990125486472001
ple,3,6,0.29074941796808695,0.7951581815257669,0.11899048797786235,0.10517555944000681,0.11328497311721246
ple,3,7,0.2965382624210583,1.1772183918704588,0.12331076938038071,0.11564607558927188,0.11947597908874741
ple,3,8,0.2021915048865753,0.8398673480997483,0.11846291378509098,0.1094261321083953,0.11194389793478574
ple,3,9,0.2010886685840512,0.7607202696924408,0.1237011337846828,0.10814364283966521,0.12095645830656092
ple,3,10,0.16368612696764073,0.7448503110557795,0.12043424164294265,0.10579329784280465,0.1167874916640964
ple,3,11,0.15642450689495216,0.6370503840657572,0.11288409938085048,0.09904518754143889,0.10959308511810377
ple,3,12,0.1335044061494363,1.1054860623553395,0.10978187307749371,0.09765505085427624,0.10793913242135507
ple,3,13,0.16279454645336955,1.2459296536942324,0.12420849069409694,0.11693469708552584,0.12076973379201567
ple,3,14,0.19162599226258445,1.0027204000391066,0.11471668987263305,0.11531019413960167,0.1096716230114301
ple,3,15,0.13537428729406592,1.1173377238834898,0.110724723224151,0.11128956548636779,0.1086123764301495
ple,3,16,0.15795819893514457,0.9678862193909784,0.12280693208643546,0.12288923599602034,0.1168664743231299
ple,3,17,0.09888928105139048,1.1023722608108073,0.1087227077378581,0.10492020468324578,0.10572499153204262
ple,3,18,0.09121851816021334,1.018812522990629,0.11724157596278625,0.10596710468331973,0.11366802490083501
ple,3,19,0.06781016597787606,1.0750297174012908,0.1283091454046371,0.11241672744508832,0.12497282554589523
ple,4,1,1.4339081282535242,1.3244373122851054,0.12686515155558784,0.09979817934023837,0.1226326184347272
ple,4,2,1.3211403979905068,0.9734296431144078,0.12045114635645102,0.09865267502027564,0.11812602694020219
ple,4,3,0.9575805666058191,1.1104733581344286,0.11699708453573597,0.1132248912860329,0.11608546738668034
ple,4,4,0.8802136501060829,0.8869306260099014,0.11693931568491583,0.12909936060120042,0.1125392321186761
ple,4,5,0.7322982409525485,0.8369981164733569,0.11549293461587998,0.12751265889576946,0.11327922072960064
ple,4,6,0.7319116815333329,0.7662775874137878,0.12038444347369175,0.13690102105028928,0.11836922698809454
ple,4,7,0.6823141214064514,1.630532521257798,0.005576662509702146,0.11986073740990832,0.0009336586900947926
ple,4,8,0.9719134766796959,1.6387542927016814,0.0953443024152269,0.12721925266087056,0.08968190864349405
ple,4,9,0.7344269473549156,0.9573654400495192,0.11207523993604505,0.1325341231500109,0.10774763553248097
ple,4,10,0.5609907245980428,1.2915671882374833,0.11119940601371733,0.11555453694115082,0.10965763759838107
ple,4,11,0.5037317975888044,1.236351152167966,0.10929973212381204,0.12608169902814553,0.1031360108871013
ple,4,12,0.4774631436060493,1.2458172509136298,0.11595161654986441,0.11664672662009253,0.11285872417502105
ple,4,13,0.3286471503919789,1.4528458599001168,0.12215176231693477,0.11490271442792922,0.11965093035929991
ple,4,14,0.21246416307246638,1.2915077670787771,0.1136616541383167,0.10771831283345819,0.11358124483376741
ple,5,1,0.9792989151818412,1.4103018494943778,0.13514926321028423,0.12905115564353764,0.13373229436886808
ple,5,2,1.45354413450326,1.491221062466502,0.13155976842778425,0.09895992871606722,0.12108334233053028
ple,5,3,1.6179896691511015,5.745748768808941,0.14076109082476856,0.1300918541266583,0.13375314919200415
ple,5,4,1.5180560584283538,9.342214191146194,0.10380060309544206,0.12000007921208938,0.0969340201932937
ple,5,5,1.5642526419389815,1.5753695093095303,0.1130096489097923,0.11842092343916495,0.0969340201932937
ple,5,6,1.6142589511379364,1.6105529372269909,0.10135922300008436,0.09326311473657066,0.0969340201932937
ple,5,7,1.582393494390306,5.207065703968207,0.10130123652876742,0.07376059604721377,0.0969340201932937
ple,5,8,1.7154343710059212,1.6949093870818615,0.10050162391271442,0.061240353326623635,0.0969340201932937
ple,5,9,1.7237306625124007,2.0995446207622686,0.10359593688820799,0.11991622083757345,0.0969340201932937
ple,5,10,1.683123819411747,2.0015694360559184,0.09031560653820633,0.0112301407646252,0.0969340201932937
ple,5,11,1.6480816489174253,10.272071987887223,0.09234557560024162,0.03736144036714298,0.0969340201932937
ple,5,12,1.6717953729251074,13.753086961060763,0.10196531836409121,0.07629809389666965,0.0969340201932937
ple,5,13,1.714404249002063,7.786732078095278,0.09885243745520711,0.0655214200533616,0.0969340201932937
ple,5,14,1.5634718428528498,14.191166514717043,0.10834989846528818,0.09141524292062968,0.0969340201932937
ple,6,1,1.088883620525141,1.0515800622602305,0.139508459965388,0.11205132694837326,0.1387971358024515
ple,6,2,0.9581004697958835,1.1361726668663323,0.1392176246648887,0.10570247950187574,0.1396452717172603
ple,6,3,0.850200577629804,1.7748460108414292,0.13354328115237876,0.10266892580936353,0.1347966282085205
ple,6,4,1.2434691380559733,1.1367536254537602,0.14306020794125895,0.10883543657449385,0.14671389228121068
ple,6,5,0.9957497449414361,1.7152644213909904,0.13206590182768801,0.0945607036158132,0.14077495935489423
