variant,number,value,datetime_start,datetime_complete,duration,params_d_ff_mult,params_d_model,params_dropout,params_grad_clip,params_lambda_aux,params_lr,params_n_heads,params_n_layers,params_n_mlp_layers,params_periodic_num_freq,params_weight_decay,user_attrs_best_adj_corr_6m,user_attrs_best_base_corr_6m,user_attrs_best_corr_6m,user_attrs_best_epoch,user_attrs_best_train_loss,user_attrs_best_val_loss,user_attrs_n_epochs_trained,user_attrs_val_sharpe_ls,state
fourier,0,0.3313993434519774,2026-07-04 13:47:39.721206,2026-07-04 13:52:26.133787,0 days 00:04:46.412581,4,96,0.28614830534045776,0.990942339314793,0.4879639408647978,0.002311294500510415,2,2,1,64,1.1526449540315607e-06,0.08915683501012002,0.12869369553712506,0.10345714227296413,6,1.775914950330988,1.4059987266858418,14,0.3313993434519774,COMPLETE
fourier,1,2.002682887678629,2026-07-04 13:52:26.258861,2026-07-04 14:05:02.759524,0 days 00:12:36.500663,4,128,0.21055143098130855,0.41875280562786965,0.1185801650879991,0.0008204643365323959,8,1,2,32,7.122305833333861e-07,0.0568630739445022,0.08225239725628247,0.056965827690146395,21,0.2008151609805368,0.5319644867132107,29,2.002682887678629,COMPLETE
fourier,2,1.6067659308042468,2026-07-04 14:05:02.882373,2026-07-04 14:14:35.557929,0 days 00:09:32.675556,4,128,0.268383690898053,4.8509646760463365,0.3080272084711243,0.0006199983918423049,8,1,1,32,8.399864445957497e-07,0.10083205775202563,0.1106379107387814,0.10087675223282228,14,0.4679138980924137,0.6947506345808506,22,1.6067659308042468,COMPLETE
fourier,3,1.8938312115206655,2026-07-04 14:14:35.675846,2026-07-04 14:41:00.596001,0 days 00:26:24.920155,2,96,0.14913379741049984,0.46529815403087704,0.31707843326329943,9.567940243846155e-05,8,3,1,16,0.001025616274847309,0.12336197829572484,0.08020698543017109,0.1235401789987615,24,0.3662202028291566,0.6556813602646192,32,1.8938312115206655,COMPLETE
fourier,4,1.9562229596053717,2026-07-04 14:41:00.714387,2026-07-04 15:02:38.492276,0 days 00:21:37.777889,2,96,0.2530862694627476,3.675070273856514,0.12542334011440948,0.00020937973594503152,4,3,1,32,4.225874644996163e-06,0.09247033893043408,0.08769767640624196,0.09253225994034438,31,0.13203330816967146,0.4440654708693425,39,1.9562229596053717,COMPLETE
fourier,5,2.2258007252177197,2026-07-04 15:02:38.609943,2026-07-04 15:09:46.214767,0 days 00:07:07.604824,2,128,0.05207765652738874,4.547075722237856,0.3545641645055122,0.0002126581181895436,4,1,1,64,3.4902252478382526e-05,0.07639984789614876,0.07347545148804784,0.07647023623188337,11,0.38784903193277026,0.7112679481506348,19,2.2258007252177197,COMPLETE
fourier,6,0.1713260466872139,2026-07-04 15:09:46.337229,2026-07-04 15:15:40.536928,0 days 00:05:54.199699,4,128,0.08276232296555397,1.6582170273621333,0.31573689676626027,0.002059919812302594,4,3,3,64,0.0030231277487963,0.018535952064363908,0.10392169245363524,0.027502691019132424,6,1.4701263471728279,1.2404842664798101,14,0.1713260466872139,COMPLETE
fourier,7,1.8197348122697785,2026-07-04 15:15:40.658072,2026-07-04 15:23:05.757676,0 days 00:07:25.099604,4,96,0.13604914348809455,4.815991745216345,0.38120758355807116,0.0002668266533189806,2,3,2,32,0.0072262072580805015,0.08159416921747227,0.0795783388389585,0.08167239986360073,10,0.7376152180016987,0.7103981547057628,18,1.8197348122697785,COMPLETE
fourier,8,1.1309725385592986,2026-07-04 15:23:05.872872,2026-07-04 15:27:09.677114,0 days 00:04:03.804242,2,128,0.2008865765082496,1.2644239655627585,0.19682210860460017,0.0011046917207533143,2,1,3,16,0.0006428328717564126,0.03447163075943536,-0.009824955459528913,0.034472960323364533,7,0.9319487900606224,0.8663388182719548,15,1.1309725385592986,COMPLETE
fourier,9,3.381392202016601,2026-07-04 15:27:09.792730,2026-07-04 15:35:18.615583,0 days 00:08:08.822853,4,64,0.0164692532818639,3.4855949167020834,0.1905983100791752,0.0009756983827967236,2,3,2,32,7.444441903453076e-07,-0.004871823238984992,0.09164433534897398,-0.003935051798665276,13,0.3428458886014091,0.5272143917779127,21,3.381392202016601,COMPLETE
