variant,number,value,datetime_start,datetime_complete,duration,params_d_ff_mult,params_d_model,params_dropout,params_grad_clip,params_lambda_aux,params_lambda_aux2,params_lr,params_n_mlp_layers,params_path2_d_ff,params_path2_n_heads,params_path2_n_layers,params_weight_decay,user_attrs_best_base_corr_6m,user_attrs_best_corr_6m,user_attrs_best_epoch,user_attrs_best_path2_corr_6m,user_attrs_best_train_loss,user_attrs_best_val_loss,user_attrs_last_base_corr_6m,user_attrs_last_corr_6m,user_attrs_last_epoch,user_attrs_last_path2_corr_6m,user_attrs_last_train_loss,user_attrs_last_val_loss,user_attrs_n_epochs_trained,user_attrs_val_sharpe_ls,state
linear,0,1.519113990919388,2026-07-13 05:12:22.403793,2026-07-13 05:21:15.056332,0 days 00:08:52.652539,2,96,0.07083786293111903,2.2165305913463675,0.17272998688284025,0.17336180394137352,0.00020298058052421552,1,128,2,3,4.205156450913872e-05,0.1304778172459919,0.13846231754869223,16.0,0.1359061360824853,0.18703662794931525,0.8532864013065894,,,,,,,24,1.519113990919388,COMPLETE
linear,1,0.7172927132289355,2026-07-13 05:21:15.176636,2026-07-13 05:24:20.388395,0 days 00:03:05.211759,4,96,0.18786729384464404,0.578593358631281,0.4795542149013333,0.4862528132298237,0.0020690200562805084,3,128,2,1,3.334792728637585e-06,0.11581806279330825,0.12308239863875012,7.0,0.13315950855612754,1.8833903371807306,1.9760380561153095,,,,,,,15,0.7172927132289355,COMPLETE
linear,2,0.8325574765418442,2026-07-13 05:24:20.504243,2026-07-13 05:29:13.330387,0 days 00:04:52.826144,2,64,0.36463495681072505,0.5336132600544056,0.4757995766256756,0.4579309401710595,0.0007848198194330578,1,256,4,2,0.004067908494359549,0.11887172972783447,0.12677857032200943,6.0,0.12415392414356272,1.2355726766326125,1.1384034285942712,,,,,,,14,0.8325574765418442,COMPLETE
linear,3,1.0117593932688507,2026-07-13 05:29:13.446250,2026-07-13 05:35:45.623390,0 days 00:06:32.177140,2,128,0.33320762856925246,3.6721351234008384,0.17948627261366898,0.10220884684944097,0.0021374347276476094,2,256,4,1,0.0003422052903270695,0.11227370750857517,0.11623758347074424,16.0,0.11332193855584288,1.5027418879954706,0.972594910642753,,,,,,,24,1.0117593932688507,COMPLETE
linear,4,2.547781140118533,2026-07-13 05:35:45.738578,2026-07-13 05:39:51.769458,0 days 00:04:06.030880,4,64,0.2530862694627476,3.877739181777349,0.14783769837532068,0.38529791488919807,0.001661652103113397,1,256,4,1,6.403036652671171e-05,0.1210665132656383,0.14319425718907344,11.0,0.13263086823668951,0.5873843698747574,0.7457527821262677,,,,,,,19,2.547781140118533,COMPLETE
linear,5,1.7183207511965048,2026-07-13 05:39:51.888008,2026-07-13 05:42:56.505504,0 days 00:03:04.617496,4,96,0.022257382417826356,4.059789859865643,0.1307919639315172,0.21590058116550723,0.00010505399655051785,2,256,2,1,0.004451314315649213,0.11458731163293123,0.13662333042981725,7.0,0.14475203464583805,0.31707408327964093,1.1693623152251045,,,,,,,15,1.7183207511965048,COMPLETE
linear,6,1.1343122440745472,2026-07-13 05:42:56.619948,2026-07-13 05:47:00.016531,0 days 00:04:03.396583,4,96,0.2203434743471038,0.6873402999350458,0.10278085221247629,0.3042989210310263,0.00034181570325113634,3,512,1,3,1.2898495377182652e-06,0.12266380105090018,0.12020533593992393,6.0,0.11918493993386316,0.7064823851928056,0.9207306540726373,,,,,,,14,1.1343122440745472,COMPLETE
linear,7,1.7314189731960805,2026-07-13 05:47:00.130475,2026-07-13 05:52:27.451517,0 days 00:05:27.321042,4,96,0.15181554492792468,1.273853264268165,0.30107160929154464,0.12059150049999574,0.00018041096636818932,3,512,2,3,0.003477998816092341,0.13191348405671305,0.12645544443900386,7.0,0.1219712156385261,0.7545059898005252,1.0115200610210497,,,,,,,15,1.7314189731960805,COMPLETE
linear,8,1.1527036867793967,2026-07-13 05:52:27.565119,2026-07-13 05:59:54.060482,0 days 00:07:26.495363,4,128,0.30703164997819987,3.420065373027184,0.22831202598869435,0.1746074041599417,6.032818887189472e-05,1,512,4,3,9.004606022643073e-05,0.10034246732636044,0.13965772626300652,6.0,0.14107081924254697,0.761304042128373,0.7928464869658153,,,,,,,14,1.1527036867793967,COMPLETE
linear,9,1.1870669258542588,2026-07-13 05:59:54.174376,2026-07-13 06:04:04.051185,0 days 00:04:09.876809,2,96,0.2794657178599617,1.2850762254122134,0.3639936184136716,0.4268888800804863,0.0006447207196537094,2,128,2,3,4.448902538066175e-05,0.13425658586590242,0.13922234691369037,7.0,0.13697098211074868,1.6442834150696557,1.1790982760488986,,,,,,,15,1.1870669258542588,COMPLETE
