variant,number,value,datetime_start,datetime_complete,duration,params_d_ff_mult,params_d_model,params_dropout,params_grad_clip,params_lambda_aux,params_lambda_aux2,params_lr,params_n_mlp_layers,params_path2_d_ff,params_path2_n_heads,params_path2_n_layers,params_periodic_num_freq,params_weight_decay,user_attrs_best_base_corr_6m,user_attrs_best_corr_6m,user_attrs_best_epoch,user_attrs_best_path2_corr_6m,user_attrs_best_train_loss,user_attrs_best_val_loss,user_attrs_last_base_corr_6m,user_attrs_last_corr_6m,user_attrs_last_epoch,user_attrs_last_path2_corr_6m,user_attrs_last_train_loss,user_attrs_last_val_loss,user_attrs_n_epochs_trained,user_attrs_val_sharpe_ls,state
periodic,0,0.6598061522965598,2026-07-13 16:10:27.750709,2026-07-13 16:16:11.686174,0 days 00:05:43.935465,2,96,0.07083786293111903,2.2165305913463675,0.17272998688284025,0.17336180394137352,0.00020298058052421552,1,128,2,3,32,4.205156450913872e-05,0.12120857725579602,0.14593386301615585,8.0,0.14361726708399752,0.5210454995921325,0.8682066811869542,,,,,,,16,0.6598061522965598,COMPLETE
periodic,1,0.9394553011069475,2026-07-13 16:16:11.806195,2026-07-13 16:21:38.773899,0 days 00:05:26.967704,2,128,0.21055143098130855,0.6979873507394163,0.2218455076693483,0.13906884560255356,0.0011679817513130801,2,256,1,1,64,1.5876781526924002e-05,0.12602339619625127,0.1394791640341282,15.0,0.13614763835988317,0.3206605061367598,0.8866728054359555,,,,,,,23,0.9394553011069475,COMPLETE
periodic,2,0.8263344736706619,2026-07-13 16:21:38.892075,2026-07-13 16:27:36.825484,0 days 00:05:57.933409,4,96,0.08209323765495555,4.1608137948444535,0.11809091556421523,0.23013213230530574,0.00029945018361271497,3,128,1,3,64,2.273762810253687e-06,0.10261457504238933,0.1273425865607957,11.0,0.12985574550305803,0.23242846750543408,0.9304200481623411,,,,,,,19,0.8263344736706619,COMPLETE
periodic,3,0.8588584537851797,2026-07-13 16:27:36.943028,2026-07-13 16:34:37.187979,0 days 00:07:00.244951,2,96,0.08749911579832724,1.623813376406745,0.4452413703502375,0.3493192507310232,0.00022949120907478262,1,256,4,3,32,2.078699690689777e-07,0.11682094970601611,0.11603125397135348,6.0,0.11330502699517335,0.9100336383525578,1.365506960451603,,,,,,,14,0.8588584537851797,COMPLETE
periodic,4,0.8319458379200781,2026-07-13 16:34:37.305452,2026-07-13 16:37:11.485284,0 days 00:02:34.179832,4,64,0.22889810705210356,2.110876322874586,0.22574239243053068,0.3034282764658811,0.0032666526101138692,3,512,1,2,16,1.763847954354689e-06,0.11047005016977589,-0.061601010376246754,9.0,-0.06266644939314574,1.6066916679579115,2.943872642268737,,,,,,,17,0.8319458379200781,COMPLETE
periodic,5,1.7732106705128916,2026-07-13 16:37:11.603221,2026-07-13 16:40:16.893176,0 days 00:03:05.289955,2,128,0.34986963017320993,0.13406543960283446,0.1911740650167767,0.27084311545050255,0.0021627162139822797,3,128,1,1,16,0.002012115544906383,0.09124115387288233,0.14632047275081278,7.0,0.1460250771138817,1.4786052206043332,1.0799036366244157,,,,,,,15,1.7732106705128916,COMPLETE
periodic,6,1.0808510678534262,2026-07-13 16:40:17.012309,2026-07-13 16:45:02.134630,0 days 00:04:45.122321,4,128,0.2841773939691194,4.550502841236603,0.3438257335919588,0.30107160929154464,6.33763913490815e-05,2,128,1,3,64,2.4730467210999103e-06,0.09461624521451692,0.11823366633616388,6.0,0.11980401241065314,1.1419076707421079,1.019137090444565,,,,,,,14,1.0808510678534262,COMPLETE
periodic,7,0.6108132694111685,2026-07-13 16:45:02.251573,2026-07-13 16:49:32.887789,0 days 00:04:30.636216,2,64,0.2940043759586253,2.609255985666477,0.11631005662190558,0.33635717727529674,0.0011326578206974436,2,128,1,2,32,1.2104285107995006e-07,0.1317553531921779,0.10665006406391815,15.0,0.10453382879980684,0.6899101106072998,1.149184735864401,,,,,,,23,0.6108132694111685,COMPLETE
periodic,8,0.5632674100333996,2026-07-13 16:49:33.003987,2026-07-13 16:57:41.489155,0 days 00:08:08.485168,4,128,0.05425467328382974,1.7612459761386334,0.1372411071223597,0.4588863031813307,0.0031608662450720105,3,128,4,3,64,0.0001463886097662144,0.057827921031275764,0.09156691668710361,15.0,0.05975793832136939,1.6160937699060591,1.703201604882876,,,,,,,23,0.5632674100333996,COMPLETE
periodic,9,1.4427005684712668,2026-07-13 16:57:41.605836,2026-07-13 17:02:10.846921,0 days 00:04:29.241085,4,64,0.3604361335255609,1.6944585209804122,0.3607845038010402,0.18970772378422393,0.0013283987156443087,2,512,2,1,64,1.5354845024150166e-06,0.12156778122819863,0.14246411387187738,14.0,0.13916922948944072,0.482513006471674,0.7386199456950029,,,,,,,22,1.4427005684712668,COMPLETE
