variant,rebalance_index,n_names,eff_n_holdings,max_weight,top5_weight
linear,0,16644,49.40298780926493,0.05000000141561624,0.23583729504270928
linear,1,17203,33.969244552704815,0.04999999293213697,0.24999996466068486
linear,2,17643,30.214879080111587,0.04999999496023,0.24999997480115
linear,3,17925,27.669510792589566,0.05000000233454774,0.25000001167273866
linear,4,18366,28.568504457398824,0.05000000590977393,0.25000002954886963
linear,5,18680,31.302131905243517,0.0500000056754439,0.2500000283772195
linear,6,19076,31.83864573057262,0.049999993692995785,0.24999996846497893
linear,7,19404,34.20718561835604,0.05000000348574808,0.2500000174287404
linear,8,19713,31.776462184175898,0.04999999542339045,0.24999997711695227
linear,9,19809,28.606240220566768,0.04999999453793581,0.24999997268967905
per_feature,0,16644,35.232323431338344,0.05000001730414339,0.250000086520717
per_feature,1,17203,31.795838202287676,0.05000000641136417,0.25000003205682086
per_feature,2,17643,27.6295911663186,0.04999999797079091,0.24999998985395455
per_feature,3,17925,28.63211240510454,0.04999999864945171,0.24999999324725855
per_feature,4,18366,33.8851904295153,0.0499999967287352,0.249999983643676
per_feature,5,18680,28.92162497141064,0.050000001101006546,0.2500000055050327
per_feature,6,19076,29.622376954656406,0.050000001707640636,0.2500000085382032
per_feature,7,19404,34.00258974864536,0.04999999781370271,0.24999998906851353
per_feature,8,19713,32.49914833535104,0.05000000343485925,0.2500000171742962
per_feature,9,19809,34.1332936966669,0.05000000195934831,0.25000000979674153
ple,0,16644,33.818713918455565,0.05000000304196249,0.25000001520981247
ple,1,17203,28.780039535596362,0.04999999702500783,0.24999998512503913
ple,2,17643,45.60804513258233,0.049999994185766186,0.2423200415831756
ple,3,17925,31.365110876834947,0.05000001043711323,0.25000005218556615
ple,4,18366,28.018934688423418,0.04999999244338078,0.24999996221690388
ple,5,18680,29.793368488954478,0.049999996387962195,0.249999981939811
ple,6,19076,29.31545099257065,0.050000009947397055,0.25000004973698525
ple,7,19404,26.543560858743035,0.050000031072008434,0.25000015536004216
ple,8,19713,27.556223383817688,0.050000185635933676,0.2500009281796684
ple,9,19809,28.968534989932333,0.05000000240912558,0.25000001204562794
periodic,0,16644,49.2363027565239,0.05000000120107065,0.24065741001394708
periodic,1,17203,34.761489199272425,0.04999999805838089,0.24999999029190445
periodic,2,17643,28.131722070761526,0.04999999909270492,0.2499999954635246
periodic,3,17925,29.881578343401646,0.05000000382492948,0.2500000191246474
periodic,4,18366,38.50917706655413,0.050000006394228885,0.2500000319711444
periodic,5,18680,31.45401080058731,0.049999992851621725,0.2499999642581086
periodic,6,19076,30.008854395312962,0.050000000358283184,0.2500000017914159
periodic,7,19404,38.329085019742166,0.04999999827052689,0.24999999135263445
periodic,8,19713,32.70479379579394,0.050000002925763364,0.2500000146288168
periodic,9,19809,39.90404809344822,0.049999999843275134,0.24999999921637567
fourier,0,16644,34.38562116532123,0.05000000864342563,0.25000004321712815
fourier,1,17203,24.44621469626321,0.050000058369928414,0.25000029184964206
fourier,2,17643,25.482599075229164,0.0500003235033151,0.25000161751657546
fourier,3,17925,28.979944083771287,0.049999999217299154,0.24999999608649576
fourier,4,18366,38.57763553409317,0.049999999198703696,0.24999999599351846
fourier,5,18680,31.863641575277786,0.04999999775146987,0.24999998875734936
fourier,6,19076,26.159609704076274,0.0500000225700882,0.250000112850441
fourier,7,19404,30.195051734551214,0.050000001321141685,0.2500000066057084
fourier,8,19713,29.48555489956025,0.04999998792184093,0.24999993960920466
fourier,9,19809,41.5175258412952,0.050000004456152145,0.25000002228076074
