country,linear,per_feature,ple,periodic,fourier,mean_across_variants
PER,0.5316105646032121,0.42833968504997044,0.12170196798250761,0.4463120825698602,0.49568585280757843,0.40473003060262575
ZAF,0.15677819973885396,0.14026069590367715,0.005658726812853788,0.11488757028566379,0.08526870468932032,0.1005707794860738
CZE,7.423970013113822e-11,6.539020123930496e-07,0.44966131026571415,1.9826430368894804e-09,8.369927363653394e-09,0.08993239491890734
IND,0.03239229226750846,0.142276599238337,0.047788374280056604,0.048012102726934756,0.053076650160276,0.06470920373462256
EGY,0.030885144387497582,0.054471848924712775,0.005718230894072861,0.06218543417470888,0.12760174508086228,0.05617248069237087
POL,0.09687370058666411,0.044328731377248666,0.0043104640075916235,0.08891171364354286,0.03415645006150121,0.0537162119353097
KOR,0.008733549300420225,0.01231439124903523,0.06358801300866994,0.05742631014937084,0.12613041437796324,0.0536385356170919
COL,0.019578957338858533,0.04377239422186239,0.07696448761677968,0.01998609633666891,0.0127424416956197,0.034608875441957836
MYS,0.0029733402191722447,0.030393434545978214,0.051624069050182485,0.061567403246321165,0.01823990240135935,0.03295962989260269
IDN,0.0760469626341901,0.010962254106364602,0.021451278413356607,0.03760625175766252,0.015376910751442572,0.03228873153260328
CHL,0.0073442904773986465,0.04785315304506854,0.03528836534925726,0.01970287982041274,0.005976615305921905,0.023233060799611818
PHL,0.022527377307495725,0.008585005992727076,0.009745581250165617,0.016738501876148636,0.00828940583118247,0.013177174451543905
THA,0.009519192970245028,0.0018876101501820314,0.025877920450818694,0.01169995333148425,0.004234080271405635,0.010643751434827127
MEX,0.0013047776214147597,0.02624900733878619,0.007459360405153369,0.005065619287962503,0.00014120039523867189,0.008043993009711098
CHN,3.2066419692932346e-07,2.1644125231114488e-05,0.035006453320003704,0.00010022822288539718,0.00026097048894931443,0.007077923364253292
HUN,4.727514603445118e-05,0.00013560465919718848,0.01959617107758397,7.726484489303025e-05,1.25864068158747e-06,0.0039715148736780455
TUR,0.0009051442906634986,0.0028536489777040964,0.0005593028452412906,0.003522231993187834,0.009887742147832496,0.0035456140509258433
ARE,0.0019638911733849155,0.0013883217389230155,0.011668857032647842,0.002251212247003209,0.0002165741737515298,0.003497771273142103
TWN,0.00017998660389314736,0.0003471808367041883,0.001173332572928448,0.001945615380084231,0.0018114991587804808,0.001091522910478099
GRC,0.00014235586931532363,0.0011872962394495678,0.0013868052220921887,0.0007963110460633534,0.0006788377469576827,0.0008383212247756232
BRA,0.00016418085919873691,0.002356147530971485,0.0001018011515460929,0.0009018023786314035,0.00021147297425304243,0.0007470809789201521
KWT,2.840231744760878e-05,1.3458341989437905e-05,0.003113320614848176,0.0002984290273960471,1.1202046345314732e-05,0.0006929624696053169
SAU,5.788894088960825e-08,8.098456940356084e-07,0.00045499509903281974,4.57463790123695e-06,3.372665036118318e-08,9.209423964386861e-05
QAT,3.565975326570937e-08,4.2265817316175507e-07,0.00010081127689512736,4.090325691367884e-07,2.669619901728787e-08,2.034106471794178e-05
