country,avg_weight
PER,0.5316105646032121
ZAF,0.15677819973885396
POL,0.09687370058666411
IDN,0.0760469626341901
IND,0.03239229226750846
EGY,0.030885144387497582
PHL,0.022527377307495725
COL,0.019578957338858533
THA,0.009519192970245028
KOR,0.008733549300420225
CHL,0.0073442904773986465
MYS,0.0029733402191722447
ARE,0.0019638911733849155
MEX,0.0013047776214147597
TUR,0.0009051442906634986
TWN,0.00017998660389314736
BRA,0.00016418085919873691
GRC,0.00014235586931532363
HUN,4.727514603445118e-05
KWT,2.840231744760878e-05
CHN,3.2066419692932346e-07
SAU,5.788894088960825e-08
QAT,3.565975326570937e-08
CZE,7.423970013113822e-11
