country,avg_contribution,share_of_total
PER,0.06540789246466133,0.29894619790592214
IND,0.04368087438561416,0.1996430526459885
EGY,0.03448264436163347,0.1576026231271995
KOR,0.024406762757345705,0.11155089477072541
ZAF,0.022986578126616482,0.10505995339220127
POL,0.014932532939913432,0.06824901062060502
TUR,0.00434839196181315,0.0198742872611443
IDN,0.002966147498325472,0.013556751083695901
CHL,0.0018717177228797753,0.008554669409511243
TWN,0.0010984437438893249,0.005020427481693825
MYS,0.0008329947801454004,0.0038071953248530093
COL,0.0006960190005973158,0.0031811487277512403
PHL,0.0006514801104638523,0.0029775841216673152
THA,0.00021842432778070578,0.0009983064712791
ARE,0.00010708128503312761,0.0004894140725422252
GRC,8.319605248845147e-05,0.0003802468270268992
BRA,1.3138826759325104e-05,6.005089227981084e-05
CHN,1.2464201473569368e-05,5.6967523337800726e-05
KWT,2.038328538144094e-06,9.31616267701232e-06
HUN,3.565188392099275e-07,1.6294662226156239e-06
CZE,3.636701858980652e-10,1.662151389829671e-09
SAU,-1.102261400468746e-09,-5.03787604755222e-09
QAT,-2.5792685260689666e-09,-1.1788524139702563e-08
MEX,-4.312911489769704e-06,-1.9712124075363225e-05
