country,avg_contribution,share_of_total
PER,0.06856817800008515,0.34065956870087144
ZAF,0.046125253113802195,0.22915890855298607
IND,0.037051768128252574,0.18408013335514825
POL,0.023413467933871238,0.11632250003980499
IDN,0.015659643143631784,0.07780004420290325
COL,0.005510522648830268,0.02737731005284363
EGY,0.0029175045445387266,0.014494709773740245
CHL,0.0007340810217797769,0.003647052197751022
PHL,0.0005147653390408057,0.0025574507518572385
TUR,0.00029562593913275484,0.0014687251121304299
THA,0.00023828255769821672,0.0011838324380489477
MYS,0.0001785099375665805,0.0008868708505011653
GRC,7.559788579184526e-05,0.00037558447547659444
BRA,4.6437573851083733e-05,0.0002307105765535349
KOR,3.96906479972709e-05,0.00019719058348307902
TWN,2.4431461206899945e-05,0.00012138008155130318
HUN,9.402516055688588e-06,4.671346326615119e-05
KWT,5.017022790650386e-06,2.4925510198379207e-05
MEX,5.96323423506703e-07,2.962646612219568e-06
CHN,5.615721543733602e-08,2.7899957893443007e-07
QAT,8.785317661881893e-10,4.364710588624825e-09
SAU,5.325540655810369e-10,2.6458284816975355e-09
CZE,1.0450806241452092e-11,5.192156552249389e-11
ARE,-0.00012818747693106472,-0.0006368594277674286
