country,avg_contribution,share_of_total
IND,0.10618147125241445,0.4555912406197165
PER,0.05658474222752082,0.24278730184760813
POL,0.02078690713223717,0.08919006957918207
ZAF,0.018674243274610734,0.08012529456188754
EGY,0.011413647735567618,0.04897236655802533
IDN,0.007300321030859643,0.03132337757371133
MYS,0.00398651684465522,0.017104887826335995
CHL,0.003331926353089196,0.01429624625608036
COL,0.001966070402240865,0.008435788684574787
MEX,0.0012439803489635202,0.005337527760785768
TUR,0.0007784890324780441,0.0033402511750132676
GRC,0.0005784359578618159,0.002481886458653928
KOR,0.0002576572375768543,0.0011055260314037027
BRA,0.00013414840865338883,0.000575588558010006
THA,5.8020957210889453e-05,0.00024894964786101076
TWN,4.4545077224319734e-05,0.0001911288924212136
HUN,1.0844659283204123e-05,4.653101636902347e-05
ARE,7.962232660379224e-06,3.4163431840397586e-05
CHN,2.5001163690568655e-06,1.0727211676739487e-05
KWT,2.405953693143484e-06,1.0323189300392216e-05
QAT,2.2965048700793295e-07,9.85357888252911e-07
CZE,3.5239241031492507e-09,1.5120048112603095e-08
SAU,-7.261005019995122e-09,-3.1154684957620095e-08
PHL,-0.0002820403310773578,-0.0012101462037088432
