country,avg_contribution,share_of_total
PER,0.06449057990628339,0.3361318963108944
IND,0.03554739835013953,0.18527689522585594
ZAF,0.024634058812188234,0.1283953860301413
POL,0.02376593052918401,0.12387060727281926
EGY,0.016146044429119745,0.08415493456201956
IDN,0.011605596623804868,0.06048962820070353
CHL,0.005844325491683415,0.030461258264887252
KOR,0.002701567768877603,0.01408086418954259
MYS,0.002513213728493599,0.013099142504544602
COL,0.0014079868696273302,0.007338580257092143
TUR,0.0009305802362782729,0.0048502851105418545
THA,0.0008147421111362237,0.004246524239951481
PHL,0.0004984062562306273,0.0025977474583647156
TWN,0.0004765769643935506,0.0024839708219787
GRC,0.00020372282201233769,0.001061825441550139
ARE,0.00017064346719106166,0.0008894122568497624
BRA,9.117068914264792e-05,0.0004751915190408065
HUN,4.588021771705592e-05,0.0002391326703342008
KWT,4.223378670515322e-05,0.00022012707645399616
CHN,9.872278225807859e-06,5.145538473637191e-05
QAT,8.900117405964253e-08,4.638837711497903e-07
CZE,2.0215836194831517e-10,1.0536713060347393e-09
SAU,-9.30862396661657e-08,-4.851755761059628e-07
MEX,-7.95924651896754e-05,-0.0004148445601689777
