country,avg_contribution,share_of_total
PER,0.0361621900557011,0.2800237399280304
IND,0.03551182986247444,0.27498764301777334
CZE,0.03090776026569774,0.2393357982209703
COL,0.014548836543708806,0.11265964849738563
IDN,0.00512333654862895,0.03967281459024541
MYS,0.0036339889574593617,0.02813997651020326
KWT,0.002470063961052342,0.01912706468192118
GRC,0.0009806169786710154,0.0075934569610253
CHL,0.0008108037374686135,0.006278499575492158
KOR,0.0003306000408918774,0.0025600180666134295
HUN,0.0001103513103825606,0.0008545109295561556
TWN,6.348096844261959e-05,0.0004915680762192427
ZAF,3.387553416246244e-05,0.00026231690485618137
BRA,2.9241339381929972e-05,0.00022643178418177477
PHL,1.487320668217067e-05,0.00011517142500077649
SAU,7.102384304435562e-06,5.499767055786053e-05
QAT,6.64250394711655e-06,5.1436563850065705e-05
THA,-1.122414205786219e-05,-8.691470930507321e-05
TUR,-3.2219674818102565e-05,-0.0002494946746293003
EGY,-0.00012468763372401452,-0.0009655249713691055
MEX,-0.0001969428427790072,-0.0015250368216662064
ARE,-0.0002518113832643724,-0.0019499141282518524
POL,-0.00040826827857986365,-0.003161445976745778
CHN,-0.0005807106444966811,-0.004496762121915265
