variant,strategy,mkt contrib,value contrib,small cap contrib,quality contrib,momentum contrib,alpha contrib,sum factors + alpha,portfolio mean ann
linear,long_only,0.023958362064095056,0.054308981714986264,0.0351067721663978,0.009136771256893158,0.0019421673394317033,0.2758685454581966,0.4003216000000006,0.4003216
linear,country_composite_long_only,0.023299150207319704,0.018764992698353744,0.022180555549188505,-0.007645961040498642,0.003507199208048376,0.13757286337758895,0.19767880000000065,0.1976788
per_feature,long_only,0.01950634234794835,0.04052153568476482,0.01392803992204763,-7.883574905428171e-05,0.0015681492009039751,0.29153816859339016,0.3669834000000007,0.36698340000000007
per_feature,country_composite_long_only,0.024024043620284492,0.01009318211546122,0.020140640139423415,-0.008769525404092041,0.00324532026139954,0.20172393926752408,0.2504576000000007,0.25045759999999995
ple,long_only,0.012217568466916793,0.020148549825884002,0.019412366842231108,0.0073716958151583785,0.0013923571157848787,0.1707222619340253,0.23126480000000044,0.23126479999999996
ple,country_composite_long_only,0.02475028153194385,0.012618076384393145,0.021121855139369004,-0.010414739581700909,0.0032569918264355184,0.2060723346995601,0.2574048000000007,0.25740479999999993
periodic,long_only,0.02446073486277966,0.04433588409563775,0.019915033776290322,-0.0008181371439373418,0.0014422198662719123,0.22428546454295836,0.31362120000000066,0.31362120000000004
periodic,country_composite_long_only,0.02610992479061291,0.020261336372759637,0.02700706365380787,-0.005160099960085254,0.0024709770575919764,0.15580659808531352,0.22649580000000066,0.22649580000000008
fourier,long_only,0.0209885350606595,0.02777251184537739,0.019977556979473256,0.0012220724052631057,-0.001745087296865266,0.2861538110060926,0.3543694000000006,0.3543694000000001
fourier,country_composite_long_only,0.02605400278774318,0.02131830041539746,0.024872176016205838,-0.006102243674292388,0.001730920490551905,0.13582664396439464,0.20369980000000065,0.20369980000000004
