country,linear,per_feature,ple,periodic,fourier,mean_share
PER,0.34065956870087144,0.24278730184760813,0.2800237399280304,0.3361318963108944,0.29894619790592214,0.29970974093866526
IND,0.18408013335514825,0.4555912406197165,0.27498764301777334,0.18527689522585594,0.1996430526459885,0.25991579297289646
ZAF,0.22915890855298607,0.08012529456188754,0.00026231690485618137,0.1283953860301413,0.10505995339220127,0.10860037188841447
POL,0.11632250003980499,0.08919006957918207,-0.003161445976745778,0.12387060727281926,0.06824901062060502,0.07889414830713312
EGY,0.014494709773740245,0.04897236655802533,-0.0009655249713691055,0.08415493456201956,0.1576026231271995,0.0608518218099231
CZE,5.192156552249389e-11,1.5120048112603095e-08,0.2393357982209703,1.0536713060347393e-09,1.662151389829671e-09,0.04786716322175254
IDN,0.07780004420290325,0.03132337757371133,0.03967281459024541,0.06048962820070353,0.013556751083695901,0.04456852313025188
COL,0.02737731005284363,0.008435788684574787,0.11265964849738563,0.007338580257092143,0.0031811487277512403,0.031798495243929484
KOR,0.00019719058348307902,0.0011055260314037027,0.0025600180666134295,0.01408086418954259,0.11155089477072541,0.02589889872835364
CHL,0.003647052197751022,0.01429624625608036,0.006278499575492158,0.030461258264887252,0.008554669409511243,0.012647545140744407
MYS,0.0008868708505011653,0.017104887826335995,0.02813997651020326,0.013099142504544602,0.0038071953248530093,0.012607614603287607
TUR,0.0014687251121304299,0.0033402511750132676,-0.0002494946746293003,0.0048502851105418545,0.0198742872611443,0.00585681079684011
KWT,2.4925510198379207e-05,1.0323189300392216e-05,0.01912706468192118,0.00022012707645399616,9.31616267701232e-06,0.003878351324110192
GRC,0.00037558447547659444,0.002481886458653928,0.0075934569610253,0.001061825441550139,0.0003802468270268992,0.002378600032746572
TWN,0.00012138008155130318,0.0001911288924212136,0.0004915680762192427,0.0024839708219787,0.005020427481693825,0.001661695070772857
PHL,0.0025574507518572385,-0.0012101462037088432,0.00011517142500077649,0.0025977474583647156,0.0029775841216673152,0.0014075615106362404
THA,0.0011838324380489477,0.00024894964786101076,-8.691470930507321e-05,0.004246524239951481,0.0009983064712791,0.0013181396175670932
MEX,2.962646612219568e-06,0.005337527760785768,-0.0015250368216662064,-0.0004148445601689777,-1.9712124075363225e-05,0.000676179380297488
BRA,0.0002307105765535349,0.000575588558010006,0.00022643178418177477,0.0004751915190408065,6.005089227981084e-05,0.0003135946660131866
HUN,4.671346326615119e-05,4.653101636902347e-05,0.0008545109295561556,0.0002391326703342008,1.6294662226156239e-06,0.00023770350914962936
SAU,2.6458284816975355e-09,-3.1154684957620095e-08,5.499767055786053e-05,-4.851755761059628e-07,-5.03787604755222e-09,1.0895789649846218e-05
QAT,4.364710588624825e-09,9.85357888252911e-07,5.1436563850065705e-05,4.638837711497903e-07,-1.1788524139702563e-08,1.0575676339183465e-05
ARE,-0.0006368594277674286,3.4163431840397586e-05,-0.0019499141282518524,0.0008894122568497624,0.0004894140725422252,-0.00023475675895737918
CHN,2.7899957893443007e-07,1.0727211676739487e-05,-0.004496762121915265,5.145538473637191e-05,5.6967523337800726e-05,-0.0008754666005170837
