component,rank,country,loading
pc1,1,ZAF,0.252
pc1,2,POL,0.237
pc1,3,MEX,0.234
pc1,4,PER,0.232
pc1,5,MYS,0.231
pc1,6,BRA,0.229
pc1,7,CHL,0.221
pc1,8,HUN,0.22
pc1,9,COL,0.22
pc1,10,CZE,0.22
pc1,11,THA,0.214
pc1,12,PHL,0.209
pc1,13,GRC,0.203
pc1,14,IND,0.203
pc1,15,KOR,0.202
pc1,16,TWN,0.199
pc1,17,ARE,0.194
pc1,18,IDN,0.182
pc1,19,QAT,0.174
pc1,20,KWT,0.173
pc1,21,TUR,0.157
pc1,22,CHN,0.152
pc1,23,SAU,0.15
pc1,24,EGY,0.134
pc2,1,KWT,0.429
pc2,2,SAU,0.409
pc2,3,ARE,0.369
pc2,4,TWN,-0.303
pc2,5,QAT,0.292
pc2,6,KOR,-0.292
pc2,7,CHN,-0.288
pc2,8,THA,-0.191
pc2,9,PHL,-0.147
pc2,10,GRC,0.147
pc2,11,MYS,-0.136
pc2,12,ZAF,-0.128
pc2,13,BRA,0.114
pc2,14,COL,0.109
pc2,15,TUR,-0.088
pc2,16,CZE,0.086
pc2,17,CHL,-0.077
pc2,18,POL,-0.041
pc2,19,PER,-0.033
pc2,20,IND,-0.032
pc2,21,MEX,0.029
pc2,22,HUN,-0.023
pc2,23,IDN,-0.02
pc2,24,EGY,-0.014
pc3,1,EGY,0.478
pc3,2,COL,-0.359
pc3,3,IND,0.333
pc3,4,BRA,-0.285
pc3,5,ARE,0.283
pc3,6,CHL,-0.26
pc3,7,PER,-0.244
pc3,8,TWN,0.237
pc3,9,QAT,0.199
pc3,10,PHL,0.154
pc3,11,KOR,0.149
pc3,12,KWT,0.138
pc3,13,MEX,-0.126
pc3,14,SAU,-0.125
pc3,15,TUR,-0.124
pc3,16,IDN,0.098
pc3,17,MYS,-0.079
pc3,18,HUN,0.072
pc3,19,CZE,-0.067
pc3,20,POL,-0.066
pc3,21,ZAF,-0.061
pc3,22,CHN,-0.035
pc3,23,THA,0.02
pc3,24,GRC,0.013
pc4,1,IDN,0.58
pc4,2,PHL,0.375
pc4,3,KOR,-0.309
pc4,4,TWN,-0.265
pc4,5,HUN,-0.26
pc4,6,GRC,-0.26
pc4,7,IND,0.253
pc4,8,POL,-0.185
pc4,9,THA,0.149
pc4,10,EGY,-0.131
pc4,11,SAU,-0.13
pc4,12,CHN,-0.11
pc4,13,BRA,0.105
pc4,14,QAT,0.102
pc4,15,ZAF,0.091
pc4,16,MYS,0.088
pc4,17,CHL,0.084
pc4,18,TUR,-0.063
pc4,19,KWT,-0.06
pc4,20,PER,-0.039
pc4,21,ARE,-0.036
pc4,22,MEX,-0.033
pc4,23,CZE,-0.021
pc4,24,COL,0.002
pc5,1,SAU,0.342
pc5,2,CZE,-0.339
pc5,3,HUN,-0.308
pc5,4,QAT,0.301
pc5,5,TWN,0.297
pc5,6,EGY,-0.293
pc5,7,KOR,0.264
pc5,8,POL,-0.248
pc5,9,TUR,-0.239
pc5,10,GRC,-0.225
pc5,11,CHN,0.21
pc5,12,THA,0.186
pc5,13,ARE,0.151
pc5,14,PER,0.128
pc5,15,IND,-0.118
pc5,16,MEX,-0.101
pc5,17,CHL,0.096
pc5,18,IDN,-0.077
pc5,19,ZAF,0.076
pc5,20,KWT,0.058
pc5,21,COL,-0.045
pc5,22,MYS,0.017
pc5,23,BRA,-0.016
pc5,24,PHL,-0.014
