variant,strategy,factor,loading,t_stat,p_value,direction
linear,long_only,alpha (monthly),0.021094392931184217,4.808756597368279,1.518719920001991e-06,positive
linear,long_only,mkt,0.6653063470355547,4.851892556547794,1.2228887128519357e-06,positive
linear,long_only,value,1.8618954455298504,2.4692010362447188,0.01354151183125756,positive
linear,long_only,small cap,0.866702265186218,5.4966642844700875,3.870425212011921e-08,positive
linear,long_only,quality,-0.38130841801686965,-1.4766536265799475,0.13976850882907563,negative
linear,long_only,momentum,-0.13808797819954086,-0.824740569187938,0.40951889391697227,negative
linear,country_composite_long_only,alpha (monthly),0.009577223709474874,2.9395001997403147,0.0032874205877809095,positive
linear,country_composite_long_only,mkt,0.6517781815003005,11.858548197126247,1.943151366099211e-32,positive
linear,country_composite_long_only,value,0.6598311210397623,2.1932706765972134,0.028287883037290858,positive
linear,country_composite_long_only,small cap,0.550003616844143,5.467548454001578,4.563024964823348e-08,positive
linear,country_composite_long_only,quality,0.30415740366804367,2.6177106520744897,0.008852183154295342,positive
linear,country_composite_long_only,momentum,-0.24297204491821378,-3.0858642266557834,0.0020296147665317824,negative
per_feature,long_only,alpha (monthly),0.022878911742358145,2.9567057816119595,0.0031094466665546132,positive
per_feature,long_only,mkt,0.5281285744707422,3.725406710613288,0.00019500056097259712,positive
per_feature,long_only,value,1.3681813198018786,2.9040185176598556,0.0036840636960795356,positive
per_feature,long_only,small cap,0.3412203661688623,1.5899622606853592,0.11184331205319478,positive
per_feature,long_only,quality,-0.012763075096877227,-0.04118833628662071,0.9671457520781497,negative
per_feature,long_only,momentum,-0.11301033629449034,-0.8519995784731098,0.3942143260121812,negative
per_feature,country_composite_long_only,alpha (monthly),0.014895289369547815,4.493999541316946,6.989777860852488e-06,positive
per_feature,country_composite_long_only,mkt,0.6687555118630597,14.082444726701231,4.869560507070134e-45,positive
per_feature,country_composite_long_only,value,0.3600681624014447,1.0648423434995653,0.2869472798513246,positive
per_feature,country_composite_long_only,small cap,0.4990043179899084,5.005551367649719,5.570235548674782e-07,positive
per_feature,country_composite_long_only,quality,0.34768726064052025,3.4226014713827104,0.0006202494240009253,positive
per_feature,country_composite_long_only,momentum,-0.22585726088484004,-3.0830756358384943,0.0020487307667357043,negative
ple,long_only,alpha (monthly),0.013278509624293878,2.5037092442680815,0.012289898499596994,positive
ple,long_only,mkt,0.3373653143850884,2.4263027044584162,0.015253541564890514,positive
ple,long_only,value,0.6896044956854368,1.303209573891223,0.1925032224772929,positive
ple,long_only,small cap,0.47856351838748795,2.0783109645798836,0.03768072721487382,positive
ple,long_only,quality,-0.30585750366999825,-1.3653213608016923,0.1721520681191966,negative
ple,long_only,momentum,-0.09774477858669031,-0.7649167470105603,0.44432112088156994,negative
ple,country_composite_long_only,alpha (monthly),0.015207411800124608,4.293783691747464,1.7565361664579512e-05,positive
ple,country_composite_long_only,mkt,0.6881536738344745,14.553365847751456,5.559872151662188e-48,positive
ple,country_composite_long_only,value,0.44515655625990314,1.4382693435570066,0.1503576466549296,positive
ple,country_composite_long_only,small cap,0.5230137252344117,4.188966129392908,2.802282171558379e-05,positive
ple,country_composite_long_only,quality,0.4138308640489199,3.108534182355598,0.001880178951709635,positive
ple,country_composite_long_only,momentum,-0.22694164457739274,-2.8473145153077657,0.004408977906613568,negative
periodic,long_only,alpha (monthly),0.01680528231477607,2.6038691789577273,0.009217793357424953,positive
periodic,long_only,mkt,0.6739927314812186,5.063372123217712,4.1190471202305224e-07,positive
periodic,long_only,value,1.5142983127181688,3.5213262403449934,0.0004293939788500031,positive
periodic,long_only,small cap,0.49152393699302666,2.8206800529039255,0.0047921972034893415,positive
periodic,long_only,quality,0.020148535689311332,0.09014244187604768,0.9281740227423487,positive
periodic,long_only,momentum,-0.10507356879500727,-0.9568495686150709,0.3386431889039142,negative
periodic,country_composite_long_only,alpha (monthly),0.010882225606879448,3.2464948748712326,0.001168355516823144,positive
periodic,country_composite_long_only,mkt,0.7289966008842366,13.072880576039113,4.704953795234376e-39,positive
periodic,country_composite_long_only,value,0.7110293777284545,1.9644063865995611,0.04948298279457314,positive
periodic,country_composite_long_only,small cap,0.6688562878856223,5.07131496066512,3.9507628802089185e-07,positive
periodic,country_composite_long_only,quality,0.2014403280000187,1.7062051788499961,0.08796988485757852,positive
periodic,country_composite_long_only,momentum,-0.17397344413698163,-1.9397496940147185,0.052410117038578403,negative
fourier,long_only,alpha (monthly),0.022221493932299476,3.7622608101397566,0.00016838431868626476,positive
fourier,long_only,mkt,0.5790773514518852,4.188001923411177,2.8142113241307467e-05,positive
fourier,long_only,value,0.9511262709932807,1.8410626300548196,0.06561238119477986,positive
fourier,long_only,small cap,0.49305290133713564,3.688023891441832,0.00022600243423968018,positive
fourier,long_only,quality,-0.06049745109659149,-0.2251850902328511,0.821835287874102,negative
fourier,long_only,momentum,0.11116383908114452,0.71917888121221,0.4720307098851382,positive
fourier,country_composite_long_only,alpha (monthly),0.00921914490115444,3.141554691804822,0.0016805341853501157,positive
fourier,country_composite_long_only,mkt,0.7277118710571975,14.434173535815017,3.154036879688832e-47,positive
fourier,country_composite_long_only,value,0.7473965905324756,2.3484961000752516,0.018849396592716054,positive
fourier,country_composite_long_only,small cap,0.6164070871551198,6.122428487573486,9.215978347365093e-10,positive
fourier,country_composite_long_only,quality,0.23992852235653406,2.121322680801417,0.03389465697152463,positive
fourier,country_composite_long_only,momentum,-0.12399504596440815,-1.503805967217966,0.13263133428213414,negative
