variant,strategy,n_obs,r_squared,alpha_monthly,alpha_annualised,beta_mkt,beta_value,beta_smallcap,beta_quality,beta_momentum,upside_capture,downside_capture,max_drawdown,beta_mkt_year_std,beta_mkt_sign_changes
linear,long_only,60,0.16048041540378044,0.02281596419763964,0.2737915703716757,0.5300389118606219,2.170509062336879,0.0794847250636792,0.3655287766067602,0.07212517221972341,91.08735489972695,-133.0612156898581,-0.26703699999999997,0.4509501390793879,True
linear,country_composite_long_only,60,0.6157164528543166,0.012925457156746548,0.15510548588095857,0.6037064546496694,0.6045316958411101,0.49922751097566587,0.19929713986005612,-0.14960042640158377,75.77656376469352,-20.82168993681374,-0.054093,0.06781776950980405,False
per_feature,long_only,60,0.2638403974900555,0.02693101213280166,0.3231721455936199,0.5743289588683606,1.4040665552528981,0.4471051190247849,-0.060381105753920576,-0.006178066925162026,150.0683162782614,-119.65189675901185,-0.07844674543036748,0.41731502432622913,True
per_feature,country_composite_long_only,60,0.6102302240542439,0.014740070696069224,0.1768808483528307,0.6280851122861169,0.39215956670561725,0.4636835793879019,0.27129191569060407,-0.20222812079169136,87.24172645869028,-16.679395713551955,-0.07113880719974745,0.0784901700752068,False
ple,long_only,60,0.19133171971443352,0.03157014076824083,0.37884168921888994,0.4650691086679439,1.0787911034519144,0.32290871091021706,0.3766921324739692,0.018312107857920784,132.5765149878111,-185.332713960838,-0.060034000000000066,0.32299392051232945,True
ple,country_composite_long_only,60,0.6110749244519922,0.014899380765525294,0.17879256918630354,0.6533917352031484,0.6167234370798349,0.40179746991811266,0.281468638049736,-0.189951940229245,93.41662314654944,-14.582692665139016,-0.04801612920170659,0.09318236591010122,False
periodic,long_only,60,0.20478117646641658,0.026614522291181133,0.3193742674941736,0.5720316730199491,1.6768565352991902,0.41569401914464604,-0.005028356882465862,-0.033387057350818566,139.38297943057222,-134.44530998957063,-0.07699498745160796,0.7243138410250685,True
periodic,country_composite_long_only,60,0.577161996773474,0.016443130560875114,0.19731756673050138,0.6041447594425171,0.39057838689001145,0.46452950291967243,0.24718317818256136,-0.20691027891341773,85.83056020575688,-37.34228694064113,-0.05049517227200012,0.13551911893965637,False
fourier,long_only,60,0.12017089053976426,0.026681450572995598,0.3201774068759472,0.6754113512467527,0.8754487145701326,-0.24475153358912854,1.481715460951251,0.0675202847104169,80.06658168339945,-85.29557099476864,-0.4332807176440001,0.4463966527093135,True
fourier,country_composite_long_only,60,0.5335472766605673,0.009771278838497646,0.11725534606197174,0.624206318543986,0.5484765056438685,0.5705355837648657,0.12385398830574905,-0.20049961003000977,63.25271574111516,-10.486266037498504,-0.10548258239529691,0.16604389759047936,False
