variant,strategy,year,n_obs,beta_mkt,corr_mkt
linear,long_only,2021,11,-0.6192030276217309,-0.524616797469102
linear,long_only,2022,12,0.4963252235442632,0.5571259473261575
linear,long_only,2023,12,0.41309416742658245,0.7177952422103709
linear,long_only,2024,12,-0.10977532192245296,-0.040637651367446494
linear,long_only,2025,12,-0.061633150994114004,-0.10814903280750492
linear,long_only,2026,1,,
linear,country_composite_long_only,2021,11,0.3409201630763283,0.4223809857304503
linear,country_composite_long_only,2022,12,0.4839030504827198,0.853189958377462
linear,country_composite_long_only,2023,12,0.4750287307002765,0.8705542886023906
linear,country_composite_long_only,2024,12,0.3634881124770886,0.5070005078532831
linear,country_composite_long_only,2025,12,0.4646639601302429,0.49024464607199963
linear,country_composite_long_only,2026,1,,
per_feature,long_only,2021,11,-0.3812211136222966,-0.3219672083832079
per_feature,long_only,2022,12,0.46213966981240184,0.541638427323887
per_feature,long_only,2023,12,0.6307933578933032,0.8578627606681611
per_feature,long_only,2024,12,0.35523619804770035,0.49139870247363704
per_feature,long_only,2025,12,-0.08363109615449353,-0.0800303150695415
per_feature,long_only,2026,1,,
per_feature,country_composite_long_only,2021,11,0.32889994599407196,0.4524875869932203
per_feature,country_composite_long_only,2022,12,0.5335573759604376,0.8585872608092959
per_feature,country_composite_long_only,2023,12,0.4600036184336472,0.8525594681840157
per_feature,country_composite_long_only,2024,12,0.49772631053804167,0.5625770263792337
per_feature,country_composite_long_only,2025,12,0.4850421709507116,0.5170158025763641
per_feature,country_composite_long_only,2026,1,,
ple,long_only,2021,11,-0.4098034475378764,-0.28837224941907047
ple,long_only,2022,12,0.3734091163382884,0.4788272040044766
ple,long_only,2023,12,0.35449376220206874,0.5154473164155172
ple,long_only,2024,12,0.1787484342950993,0.21089417734706856
ple,long_only,2025,12,0.2566160688042362,0.26255682910679734
ple,long_only,2026,1,,
ple,country_composite_long_only,2021,11,0.3374480121806853,0.35724102483120623
ple,country_composite_long_only,2022,12,0.5428965885247141,0.884777272372417
ple,country_composite_long_only,2023,12,0.517358221268077,0.8426585589771258
ple,country_composite_long_only,2024,12,0.555295459988123,0.6397763726348072
ple,country_composite_long_only,2025,12,0.42059288337543865,0.4733982524684535
ple,country_composite_long_only,2026,1,,
periodic,long_only,2021,11,-1.1116606819374282,-0.5746121750600206
periodic,long_only,2022,12,0.5136539759371107,0.575958805024944
periodic,long_only,2023,12,0.7657435184757587,0.9085002703283727
periodic,long_only,2024,12,0.16283930647741462,0.21135738835454612
periodic,long_only,2025,12,-0.04645210316361827,-0.04186732747503592
periodic,long_only,2026,1,,
periodic,country_composite_long_only,2021,11,0.21956724542837566,0.25461779484665825
periodic,country_composite_long_only,2022,12,0.5605674188494293,0.8610841335975009
periodic,country_composite_long_only,2023,12,0.4917159748081022,0.8607633645397956
periodic,country_composite_long_only,2024,12,0.35926937729364217,0.47453108174246444
periodic,country_composite_long_only,2025,12,0.48913694654810236,0.5212913402629256
periodic,country_composite_long_only,2026,1,,
fourier,long_only,2021,11,-0.3753797620432198,-0.1327632169243314
fourier,long_only,2022,12,0.5287689427092849,0.7203480159960794
fourier,long_only,2023,12,0.5199256715139353,0.3207671447457924
fourier,long_only,2024,12,-0.31764123565810887,-0.0762611359271023
fourier,long_only,2025,12,-0.12608333294859125,-0.10326307608062887
fourier,long_only,2026,1,,
fourier,country_composite_long_only,2021,11,0.35342666465960354,0.309546196548657
fourier,country_composite_long_only,2022,12,0.6214859703126437,0.8625627266225382
fourier,country_composite_long_only,2023,12,0.5178116912983993,0.8427389998956951
fourier,country_composite_long_only,2024,12,0.1880984379017939,0.3123081332734493
fourier,country_composite_long_only,2025,12,0.46904735197357644,0.5640789588922317
fourier,country_composite_long_only,2026,1,,
